NRDLfrag,SMDDR,1,333887,6519,N930NR0751,751,9024,6412,NR in plane
NRDfrag,contin10326,1,473631,10328,N930NR0751,751,11733,6147,NR in plane
RMEV,mus-D,2,338614,6643,N930NR0751,751,11440,6715,NR in plane
NRDfrag,contin10326,3,473633,10329,N930NR0752,752,11831,6002,NR in plane
IL1DR,"RMDVR,mus-DR,RIPR",3,465105,9937,N930NR0752,752,14293,8574,NR 45 deg
RIAR,RMDVR,1,343765,6903,N930NR0752,752,13510,7426,NR in plane
SMDDR,"[RIBL],mus-D",2,333899,6522,N930NR0753,753,10684,6867,NR in plane
IL2R,"OLQVR,RIH,OLQDR",7,270610,4998,N930NR0753,753,15201,12188,NR 45 deg
NRDLfrag,"SMDDR,AVER",3,333889,6520,N930NR0753,753,8964,6464,NR in plane
OLQDR,IL2R,3,270590,4996,N930NR0753,753,15496,11791,NR 45 deg
RIH,"IL2R,OLQDR",3,284371,5219,N930NR0753,753,15376,11088,NR 45 deg
URADR,"mus-DR,RIPR",1,465069,9950,N930NR0754,754,13067,7807,NR in plane
OLQDR,IL2R,3,270595,4997,N930NR0754,754,15448,11518,NR 45 deg
OLLR,"AVEL,[CEPDR]",1,480487,10816,N930NR0754,754,16082,10636,NR 45 deg
OLLL,"RMDVL,AVER",1,462762,9869,N930NR0754,754,8109,8536,NR 45 deg
IL1R,mus-DR,2,474223,10362,N930NR0754,754,15033,9922,NR 45 deg
RMER,mus-L,1,463120,9881,N930NR0755,755,8788,10176,NR 45 deg
RIAR,RMDVR,1,343766,6904,N930NR0755,755,12924,7189,NR in plane
OLLL,"RIBL,AVER",1,462761,9868,N930NR0755,755,7695,10353,NR 45 deg
NRDfrag,SMDDR,1,270423,4985,N930NR0755,755,10657,6204,NR in plane
OLLR,"AVEL,[CEPDR]",2,270575,4993,N930NR0756,756,16086,10740,NR 45 deg
OLLL,"RMDVL,AVER",1,462763,9870,N930NR0756,756,8074,8515,NR 45 deg
SMDDR,mus-D,1,333865,6515,N930NR0756,756,10509,6670,NR in plane
IL2L,RIH,2,468515,10016,N930NR0757,757,9606,12591,NR 45 deg
RMEV,mus-D,4,333862,6514,N930NR0757,757,11166,6722,NR in plane
IL1DR,"RIPR,mus-DR",1,465070,9951,N930NR0757,757,13040,7689,NR in plane
SMDDR,"[RIBL],mus-D",1,333861,6513,N930NR0758,758,10773,6862,NR in plane
OLLR,"[CEPDR],RMER",1,270576,4994,N930NR0758,758,16205,11214,NR 45 deg
OLLR,"RMDVR,AVEL,[CEPDR]",1,270577,4995,N930NR0758,758,16031,10854,NR 45 deg
NRDLfrag,"AVER,SMDDR",4,333896,6521,N930NR0758,758,9179,5794,NR in plane
OLLL,"RIBL,RMDVL",1,462737,9867,N930NR0758,758,7912,10708,NR 45 deg
RMEV,mus-D,1,333859,6512,N930NR0760,760,11170,6755,NR in plane
SMDDL,RIAR,3,343659,6901,N930NR0760,760,13919,7368,NR in plane
OLLL,RIBL,2,462735,9866,N930NR0761,761,8070,11403,NR 45 deg
SMDDL,RIAR,1,343661,6884,N930NR0761,761,13958,7503,NR in plane
OLQDL,"IL2DL,IL1DL",1,270091,4983,N930NR0761,761,9169,7939,NR in plane
SMDDL,"RIAL,RIAR",3,343669,6885,N930NR0761,761,12860,6492,NR in plane
SMDDR,"[RIBL],mus-D",1,333856,6509,N930NR0761,761,10727,6862,NR in plane
RIAR,"RMDDL,RMDVR",5,343665,6902,N930NR0761,761,12660,7140,NR in plane
URADR,"mus-DR,RIPR",1,465071,9952,N930NR0761,761,13053,7941,NR in plane
RIH,OLQVR,1,284369,5218,N930NR0761,761,15117,12944,NR 45 deg
OLQVR,IL2R,1,270483,4990,N930NR0761,761,14914,12670,NR 45 deg
[RIBL],mus-D,1,333857,6510,N930NR0761,761,10824,6766,NR in plane
RIAR,[RIBR],3,343656,6882,N930NR0761,761,15572,9991,NR 45 deg
NRL,SMDDR,3,270431,4986,N930NR0762,762,10506,6028,NR in plane
RMEV,mus-D,3,333854,6511,N930NR0762,762,11158,6734,NR in plane
RIH,"OLQVR,RIPR",34,217659,4842,N930NR0762,762,14598,12294,NR 45 deg
RIAR,[RIBR],1,341477,6766,N930NR0762,762,15510,9934,NR 45 deg
NRDLfrag,NRL,2,466317,10020,N930NR0763,763,8020,7034,NR in plane
RIAR,"RMDDL,RMDVR",2,343722,6893,N930NR0763,763,13615,7948,NR in plane
RIAL,RMDDR,3,270692,5002,N930NR0763,763,9535,6955,NR in plane
RIAR,"RMDVR,RMDDL",5,341454,6883,N930NR0763,763,15030,9393,NR 45 deg
RIAR,RMDDL,1,341456,6762,N930NR0763,763,14952,9309,NR 45 deg
NRDLfrag,SMDDR,5,333868,6517,N930NR0763,763,8638,6697,NR in plane
RIAR,"RMDVR,RMDDL",1,343723,6894,N930NR0763,763,13243,7546,NR in plane
RIAL,"RMDR,RIAR",1,341461,6763,N930NR0763,763,14844,8874,NR 45 deg
OLQVR,IL2R,3,270480,4989,N930NR0763,763,14768,12394,NR 45 deg
RIS,"RMED,AVEL",1,399011,8283,N930NR0763,763,11360,5709,NR in plane
