IL2DR,"IL1DR,RIPR",5,61290,4004,N2UNR024,24,6169,3055,NR 45 deg
RIH,"OLQVR,RIPR",1,465490,9332,N2UNR024,24,6067,4488,NR 45 deg
URYDL,"RMDVL,RMDDR",3,60688,3785,N2UNR024,24,4278,2280,NR in plane
URYDR,"RMDVR,RMDDL,RMED",7,60486,3720,N2UNR024,24,5577,2399,NR in plane
RMDDR,dBWML2,1,469448,9688,N2UNR024,24,4602,2347,NR in plane
IL2DL,"RMEL,URADL,RMER",4,57208,2117,N2UNR024,24,3984,2395,NR in plane
URYDR,"SMDDL,AVEL",3,56492,1770,N2UNR024,24,6405,2738,NR in plane
IL2DL,"RIPL,RIPL",1,61410,4052,N2UNR025,25,3654,2618,NR in plane
RIPR,OLQVR,1,61076,3948,N2UNR025,25,5994,4467,NR 45 deg
CEPDR,"RMDVR,IL1DR,OLLR,URYDR",3,60478,3718,N2UNR025,25,5619,2286,NR in plane
URYDL,"RMDDR,RMDVL",5,59824,3426,N2UNR025,25,4393,2206,NR in plane
URADR,"dBWMR5,dBWMR1",2,65127,5428,N2UNR025,25,5863,2769,NR in plane
URYDR,IL1DR,3,56484,1766,N2UNR025,25,6212,2286,NR in plane
OLLR,CEPDR,1,56412,1736,N2UNR025,25,6435,3081,NR 45 deg
OLQDL,"RMEL,RMEL,RMED",1,64644,5285,N2UNR025,25,3685,2355,NR in plane
RMDDR,"RMDVR,dBWMR1,dBWMR2",3,37110,1139,N2UNR025,25,5740,2644,NR in plane
OLLR,SMDVR,1,62991,4827,N2UNR025,25,5278,2091,NR in plane
RIH,"OLQVR,RIPR",1,465491,9335,N2UNR026,26,5992,4484,NR 45 deg
IL2DL,"RMEV,RIPL",1,61409,4051,N2UNR026,26,3662,2651,NR in plane
IL2DL,"RMEL,RIPL,IL1DL",2,61014,3929,N2UNR026,26,3872,2427,NR in plane
URYDR,SMDDL,1,56490,1769,N2UNR026,26,6278,2541,NR in plane
RMDVR,CEPDR,2,56422,1741,N2UNR026,26,6481,3133,NR 45 deg
CEPDR,"AVEL,OLLR,RMDVR",3,56415,1738,N2UNR026,26,6563,3244,NR 45 deg
RIS,"RIBR,AVEL,CEPDR",1,64836,5318,N2UNR026,26,6700,3387,NR 45 deg
IL2DL,"RMEL,RMED",1,64289,5231,N2UNR026,26,3689,2405,NR in plane
OLLR,"CEPDR,AVEL",1,63005,4837,N2UNR026,26,6518,3276,NR 45 deg
OLQVR,"RIPR,RIH",1,61073,3947,N2UNR027,27,5922,4527,NR 45 deg
RIBR,"RMED,RIS",1,61027,3936,N2UNR027,27,5703,2052,NR in plane
IL1DR,"dBWMR1,RMDVR,RIPR,URADR",7,61283,3958,N2UNR027,27,5878,2680,NR in plane
URADR,"RMER,dBWMR4",1,65946,5774,N2UNR027,27,6256,3389,NR 45 deg
URYDL,RMDVL,1,56556,1829,N2UNR027,27,3893,1987,NR in plane
IL1DL,"dBWML6,RMEL",1,65273,5507,N2UNR027,27,4124,2392,NR in plane
RIH,"OLQDR,OLQVR",1,64679,5289,N2UNR027,27,6200,4413,NR 45 deg
AVER,"OLLL,CEPDL",1,64610,5262,N2UNR027,27,4239,1965,NR in plane
CEPDR,"OLLR,AVEL",5,62988,4826,N2UNR027,27,5550,2150,NR in plane
OLLL,"SMDDL,OLLL",2,58035,9443,N2UNR028,28,4593,2029,NR in plane
URYDR,SMDDL,2,56488,1768,N2UNR028,28,6177,2397,NR in plane
URYDR,SMDDL,2,56486,1767,N2UNR028,28,6326,2538,NR in plane
RMDDR,"RMDVL,dBWMR7",3,60680,3735,N2UNR028,28,4216,2389,NR in plane
IL1DR,"IL1R,IL1DR",1,65888,5777,N2UNR028,28,6502,3565,NR 45 deg
OLLL,"URYDL,RMDVL",1,64611,5263,N2UNR028,28,4412,2103,NR in plane
IL2R,"OLQDR,URADR",2,64578,5251,N2UNR028,28,6141,4033,NR 45 deg
OLLR,"RIBR,AVEL",1,62987,4825,N2UNR028,28,5484,2088,NR in plane
OLLL,"SMDDL,OLLL",2,58036,9444,N2UNR028,28,4617,2007,NR in plane
CEPDR,"RIBR,AVEL",3,56420,1740,N2UNR029,29,6712,3504,NR 45 deg
IL2DR,"RIPR,IL1DR",3,61286,4003,N2UNR029,29,6057,2889,NR in plane
OLLL,"AVER,SMDDR",1,64612,5264,N2UNR029,29,4373,1920,NR in plane
RMDDL,"RMDVR,dBWMR1,dBWMR2",1,37124,1140,N2UNR029,29,5806,2630,NR in plane
URADR,"dBWMR1,RIPR",2,61277,4002,N2UNR029,29,5876,2751,NR in plane
IL2R,OLQDR,2,64565,5250,N2UNR029,29,6196,4198,NR 45 deg
RMEV,"dBWMR7,dBWMR6",3,63899,5070,N2UNR029,29,5195,2302,NR in plane
URYDL,"RMDDR,RMDVL",5,59818,3425,N2UNR029,29,4421,2251,NR in plane
IL1R,"dBWMR4,RMDVR",3,64228,5208,N2UNR029,29,6355,3439,NR 45 deg
OLLL,SMDDL,1,466610,9442,N2UNR029,29,4628,2006,NR in plane
IL1DL,"RMDVL,dBWMR7",2,63868,5162,N2UNR029,29,4120,2387,NR in plane
RMEV,"RMDDL,dBWMR7",1,465676,9406,N2UNR029,29,5332,2364,NR in plane
OLLL,SMDDL,1,466611,9441,N2UNR029,29,4537,2022,NR in plane
IL1DR,"IL1R,OLLR",1,63014,4843,N2UNR029,29,6525,3755,NR 45 deg
RIS,"RIBR,AVEL,RIBR",1,465673,9405,N2UNR029,29,5503,1978,NR in plane
URADR,dBWMR1,2,57114,2090,N2UNR029,29,6066,3141,NR 45 deg
OLLR,"SMDDL,AVEL,CEPDR",1,62985,4824,N2UNR029,29,5448,2108,NR in plane
URADR,"dBWMR4,dBWMR5",3,65330,5483,N2UNR029,29,6251,3287,NR 45 deg
