AVKL,128,128996,85401,82770,0
AVKR,7215,128389,83968,83144,0
AVL,131,92169,83570,83068,1
AVM,15,69584,84872,38763,1
AWAL,90,52212,80683,41749,0
AWAR,182,60049,81702,46336,0
AWBL,89,48159,79308,41778,0
AWBR,177,48636,77659,23461,0
AWCL,1282,73713,79232,49091,0
AWCR,79,98839,77193,861,0
BAGL,1244,89487,55834,59877,0
BAGR,1243,74636,55327,45728,0
BDUL,20,49761,84073,43216,0
BDUR,67,57438,85208,42352,0
CEPDL,293,49445,12928,3850,1
CEPDR,1314,54088,54695,53563,1
CEPVL,32,57181,30584,30659,1
CEPVR,304,60396,32314,32393,1
DVA,143,94693,84685,73287,1
DVC,312,101557,83203,10472,0
FLPL,233,40716,29050,2421,1
FLPR,243,36799,422663,36000,1
HSNL,156,94945,83932,1839,0
HSNR,11,100541,85278,69104,0
IL1DL,1270,46568,50538,55490,1
IL1DR,1304,31696,54701,55105,1
IL1L,324,46160,12929,13143,1
IL1R,1831,38768,54901,55560,1
IL1VL,1247,42544,48277,56038,1
IL1VR,1279,40532,53457,56098,1
IL2DL,1271,36947,50502,55459,1
IL2DR,1307,30214,55106,55536,1
IL2L,1242,52658,48972,55920,1
IL2R,1291,36328,55587,64575,1
IL2VL,5064,32098,64540,64463,1
IL2VR,1317,34697,53763,55183,1
OLLL,1265,58685,22932,58112,1
OLLR,1148,48322,39752,40037,1
OLQDL,1016,36495,31608,50406,1
OLQDR,1310,34386,55176,55180,1
OLQVL,1255,43249,48815,56019,1
OLQVR,948,45233,28126,28127,1
PLNL,34,26070,451571,45659,0
PLNR,52,35320,451974,35071,0
PVCL,29,86870,84990,41300,0
PVCR,147,97608,85138,72997,0
PVNL,12,54456,478255,41259,1
PVNL,150,57198,88465,41251,1
PVNR,18,34402,77204,43224,1
PVNR,63,60941,85173,42383,1
PVPL,10245,57463,83825,38298,0
PVPR,158,60805,83609,33650,0
PVQL,307,50090,84180,42705,0
PVQR,9622,63250,85243,467961,0
PVT,130,105947,83534,9396,0
RIAL,112,122257,2420,21162,0
RIAR,125,130328,3976,16856,0
RIBL,94,92234,79271,39411,0
RIBR,179,95788,77809,55039,1
RICL,31,87653,80740,1566,0
RICR,56,84580,81960,1338,0
RID,250,84905,77417,47205,1
