egg-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egl-15,2,1,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2
fmi-1,72,71,72,68,70,71,69,69,72,70,70,70,69,70,70,71,72,69,70,71,69,71,71,72,69,71,70,71,71,74,71,70,71,72,72,70,72,72,71,70,70,73,74,71,72,73,72,72,71,70,71,69,68,72,72,72,70,72,73,71,69,71,72,72,72,70,71,70,70,74,69,70,72,70,73,72,72,71,69,72,73,69,70,72,70,70,71,70,70,70,71,70,70,69,68,69,72,69,70,72
fshr-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glit-1,19,19,19,19,20,20,20,19,20,20,19,24,19,20,19,22,19,19,19,20,20,19,19,21,20,19,19,19,20,20,19,21,20,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,19,20,21,19,19,20,19,21,19,19,22,21,19,21,20,19,22,20,19,20,19,19,21,19,19,21,20,19,19,20,20,21,19,20,20,21,19,19,19,19,19,19,19,19,20,21,19,20
him-4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
hmr-1,72,70,71,70,69,69,70,69,70,70,69,70,71,73,69,68,68,70,70,70,68,68,68,71,68,69,70,72,69,70,70,68,72,70,71,71,70,70,71,71,68,71,69,70,71,70,69,69,73,71,70,69,70,71,69,71,72,70,71,69,71,69,68,70,71,69,71,70,70,69,68,71,69,70,71,69,70,68,70,69,69,69,70,71,69,68,70,72,68,71,69,67,68,70,69,69,70,69,70,71
igcm-1,61,62,63,61,60,60,62,67,64,62,63,62,63,62,62,63,62,62,62,61,63,60,62,63,62,62,63,61,63,60,64,61,64,63,65,61,60,61,60,61,62,64,62,62,60,61,62,62,64,63,62,60,60,61,61,61,62,60,63,61,61,61,61,61,62,63,63,61,64,62,61,63,61,62,61,63,61,62,61,62,61,60,61,61,62,62,61,62,61,61,62,60,60,62,64,60,63,62,64,60
igcm-2,34,34,37,36,34,34,34,35,35,35,34,34,34,36,36,36,35,36,34,35,36,35,36,34,37,34,36,34,35,34,34,34,35,36,34,34,34,35,34,34,35,35,34,35,36,34,35,34,37,34,34,34,34,36,37,36,37,36,35,35,35,34,37,35,35,35,34,34,35,35,35,35,34,34,36,35,34,34,34,35,34,35,34,34,34,34,34,35,34,35,34,35,36,36,35,34,37,35,35,34
igcm-3,71,68,70,69,69,69,69,68,69,70,70,69,71,68,69,69,68,68,67,68,69,67,69,71,70,71,69,70,69,69,69,71,68,69,70,71,69,70,72,70,67,69,69,68,68,67,68,73,70,69,69,68,70,72,70,70,70,68,68,68,71,70,68,68,69,71,68,70,68,68,70,70,70,72,69,70,69,69,67,69,70,69,69,70,71,70,69,70,70,72,67,68,68,70,68,68,70,71,72,69
