AIYL,['AFDL'],1,546,NR
ASHL,['AIBL'],1,547,NR
ADLL,['AIBL'],1,548,NR
ASHL,"['AVBL', 'ADLL']",4,549,NR
ALML,['PVCL'],2,550,NR
ASEL,['AIYL'],3,551,NR
AIAL,['AIBL'],1,553,NR
ASHL,['AVBL'],1,555,NR
ADAL,['AVBR'],7,556,NR
RIAL,"['SMDVR', 'RMDDL']",3,561,NR
RIAL,"['SMDDL', 'RIVR']",1,10491,NR
RIAL,['SMDVR'],1,566,NR
RIAL,"['RIVR', 'SMDVR']",1,10483,NR
CEPVL,"['RICR', 'RICL']",6,567,NR
RIAL,['SMDDL'],2,569,NR
RIML,"['SAAVR', 'SMDDL']",1,9588,NR
AIZL,"['AIBR', 'RIML', 'AVER']",4,573,NR
AIZL,['RIAL'],1,575,NR
AIZL,"['RIML', 'AIBR', 'AVER']",6,577,NR
SDQL,['AVAR'],1,579,NR
SDQL,['AVAR'],3,580,NR
SAAVL,"['RIMR', 'SMDDR']",1,583,NR
AIBL,"['SMDDR', 'RIMR']",2,584,NR
AIBL,"['SMDDR', 'RIMR']",5,586,NR
SAAVL,"['SMDDR', 'AVAL']",1,587,NR
SAAVL,"['RIMR', 'AVAL']",2,588,NR
SAAVL,"['RIMR', 'AVAL']",4,593,NR
AIML,"['ASKL', 'AIAL']",2,5645,NR
ADFL,['RIAL'],1,612,NR
AIZL,"['AIBR', 'AVER']",1,614,NR
AIZL,['RIAL'],2,616,NR
AIZL,"['AIBR', 'AVER']",1,617,NR
AIZL,"['AIBR', 'AVER']",1,624,NR
AIZL,"['RIML', 'AIBR']",1,626,NR
RIGL,['RIR'],2,627,NR
AWAL,"['AFDL', 'AIZL']",1,630,NR
AWBL,['ADFL'],2,631,NR
RIBL,"['AUAL', 'RIAL']",4,639,NR
ADFL,"['RIAL', 'AUAL']",1,640,NR
AIML,"['ASKL', 'AIAL']",2,5660,NR
SAAVL,['AVAL'],2,642,NR
RICL,"['AVAL', 'SMDDR']",3,643,NR
SAAVL,"['SMDDR', 'AVAL']",3,644,NR
RICL,['AVAL'],1,645,NR
RICL,"['AVAL', 'SMDDR']",1,646,NR
SAAVL,"['SMDDR', 'AVAL']",5,647,NR
RICL,"['AVAL', 'SMDDR']",2,648,NR
SAAVL,"['AVAL', 'RIMR']",2,649,NR
RICL,['AVAL'],2,650,NR
SAAVL,"['RIMR', 'AVAL']",4,651,NR
SAAVL,"['AVAL', 'SMDDR']",5,652,NR
SAAVL,"['SMDDR', 'AVAL']",1,654,NR
SAAVL,"['AVAL', 'RIMR']",1,658,NR
SAAVL,['AVAL'],1,4339,NR
SAAVL,"['AVAL', 'RIMR']",2,660,NR
AIBL,"['SMDDR', 'RIMR']",3,668,NR
AIBL,"['SMDDR', 'RIMR']",1,671,NR
SMDVL,"['RIAR', 'SMDDR']",2,680,NR
RIVL,['SAADR'],3,682,NR
RIVL,['RIAR'],2,689,NR
RIVL,['RMDVL'],1,691,NR
RIVL,['RMDVL'],2,692,NR
SMDVL,"['RIAR', 'SMDDR']",2,702,NR
SMDVL,"['RIAR', 'SMDDR']",3,705,NR
SMDVL,"['RIAR', 'SMDDR']",1,708,NR
RIVL,"['RMDVL', 'SIAVR']",2,713,NR
AINL,['AFDR'],1,8895,NR
RMDVL,['RMDDR'],1,745,NR
RMGL,['RMDVL'],1,758,NR
URYVL,"['RIBL', 'SMDVR', 'AVER']",1,5065,NR
OLLL,"['AVER', 'CEPVL']",3,5066,NR
SMDVL,['RIAR'],1,759,NR
RMDVL,['RMDDR'],7,761,NR
AIZL,"['AIBR', 'AVER']",1,5068,NR
RMDVL,['RMDDR'],1,763,NR
RMDVL,['RMDDR'],1,764,NR
RMDVL,['RMDDR'],11,769,NR
RMDVL,['RMDDR'],4,773,NR
RMDVL,['RMDDR'],7,779,NR
RMDVL,['RMDDR'],4,782,NR
RMDVL,['RMDDR'],1,783,NR
RMDVL,['RMDDR'],4,784,NR
RIAL,"['SMDDR', 'RIAR']",3,790,NR
RIAL,['SMDDR'],1,791,NR
RIAL,"['RMDDR', 'RMDVL']",3,793,NR
RIAL,['SMDDR'],1,794,NR
RIAL,"['SMDDR', 'SMDVL']",3,5468,NR
RIAL,['SMDDR'],2,796,NR
RIAL,['RMDVL'],2,799,NR
RIAL,"['RMDR', 'RIAR']",1,800,NR
RIAL,['RMDR'],1,801,NR
RIAL,['RMDR'],1,804,NR
RIAL,['RMDR'],1,806,NR
RIAL,"['RMDR', 'RIAR']",2,808,NR
RIAL,"['RMDDR', 'RMDVL']",2,810,NR
RIAL,"['RMDR', 'RIAR']",2,814,NR
RIAL,"['RMDVL', 'RMDDR']",2,816,NR
RIAL,['RMDVL'],1,817,NR
RIAL,"['RMDDR', 'RMDVL']",4,818,NR
RIAL,"['RMDDR', 'RMDVL']",4,819,NR
RIAL,"['RMDDR', 'RMDVL']",1,820,NR
SMDVL,['SMDDR'],2,825,NR
SMDVL,['SMDDR'],7,826,NR
SMDVL,"['RIAR', 'RIAL']",1,828,NR
SMDVL,"['RIAR', 'RIAL']",6,833,NR
RIAL,"['SMDDR', 'SMDVL']",1,834,NR
RIAL,"['SMDDR', 'SMDVL']",1,835,NR
RIAL,"['SMDDR', 'SMDVL']",1,836,NR
SMDVL,"['RIAL', 'SMDDR']",2,838,NR
SMDVL,"['RIAR', 'RIAL']",2,844,NR
SMDVL,['RIAR'],1,845,NR
SMDVL,"['RIAR', 'RIAL']",1,846,NR
SMDVL,"['RIAR', 'RIAL']",2,847,NR
SMDVL,"['RIAR', 'RIAL']",2,848,NR
SMDVL,"['RIAR', 'RIAL']",1,849,NR
SMDVL,['RIAR'],1,851,NR
RIAL,['SMDVL'],1,854,NR
RIML,['SMDDR'],1,874,NR
RIAL,"['SMDDR', 'SMDVL']",1,880,NR
RIML,"['SMDVL', 'SMDDR']",3,881,NR
RIML,"['SMDDR', 'SAAVL']",1,883,NR
RIML,['SAAVL'],1,884,NR
RIML,['SAAVL'],1,885,NR
RIML,"['SMDDR', 'SAAVL']",1,886,NR
RIML,"['SMDDR', 'SAAVL']",1,887,NR
RIML,"['SMDDR', 'SAAVL']",1,888,NR
RIML,"['RMDR', 'SMDVL']",1,890,NR
