EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
JSE	2114		hyp	PDB	electrical	1	1	hyp			
JSE	2116		PDA	DA08	electrical	1	1	PDA			
JSE	2117		PDA	DD06	electrical	1	1	DD06			
JSE	2118		hyp	DA09	electrical	1	1	hyp			
JSE	2122		hyp	PDB	electrical	1	1	hyp			
JSE	2123		DA09	DA08	electrical	1	1	DA09			
JSE	2124		hyp	PDB	electrical	1	1	hyp			
JSE	2125		hyp	RID	electrical	1	1	RID			
JSE	2126		r30	gx	electrical	1	1	gx			
JSE	2287		PVQR	PVQL	electrical	1	1	PVQL			
JSE	2288		hyp	AVFR	electrical	1	1	hyp			
JSE	2289		DVC	DVB	electrical	1	1	DVB			
JSE	2290		PVT	PVPR	electrical	1	1	PVPR			
JSE	2291		PVT	PVPR	electrical	1	1	PVPR			
JSE	2292		PVT	PVNR	electrical	1	1	PVT			
JSE	2293		hyp	AVJR	electrical	1	1	hyp			
JSE	2294		DD06	AVL	electrical	1	1	AVL			
JSE	2296		DD06	AVL	electrical	1	1	AVL			
JSE	2297		DD06	AVL	electrical	1	1	AVL			
JSE	2298		VA11	AVAL	electrical	1	1	VA11			
JSE	2299		VA11	AVAL	electrical	1	1	VA11			
JSE	2300		PDER	DVA	electrical	1	1	DVA			
JSE	2301		VA12	PVCR	electrical	1	1	PVCR			
JSE	2302		VD12	VA12	electrical	1	1	VD12			
JSE	2303		VD12	VA12	electrical	1	1	VD12			
JSE	2304		VD12	VA12	electrical	1	1	VA12			
JSE	2305		PVWR	AVL	electrical	1	1	PVWR			
JSE	2306		PVWL	PVCR	electrical	1	1	PVWL			
JSE	2307		DVA	AVKL	electrical	1	1	AVKL			
JSE	2308		DD06	AVL	electrical	1	1	AVL			
JSE	2309		PVWR	AVDR	electrical	1	1	PVWR			
JSE	2310		AVDR	AVAL	electrical	1	1	AVDR			
JSE	2311		VA12	PVCL	electrical	1	1	PVCL			
JSE	2312		PVCR	PVCL	electrical	1	1	PVCR			
JSE	2313		VB10	PVCL	electrical	1	1	VB10			
JSE	2314		PVCR	PVCL	electrical	1	1	PVCR			
JSE	2315		PVCL	DA08	electrical	1	1	PVCL			
JSE	2316		PVCL	DA08	electrical	1	1	DA08			
JSE	2317		DA09	DA08	electrical	1	1	DA08			
JSE	2318		PVR.	PDEL	electrical	1	1	PVR			
JSE	2319		PVCR	AVAR	electrical	1	1	AVAR			
JSE	2320		PVCR	PVCL	electrical	1	1	PVCR			
JSE	2321		PVCR	AVAR	electrical	1	1	AVAR			
JSE	2322		VA11	AVAR	electrical	1	1	AVAR			
JSE	2323		PVCL	DB07	electrical	1	1	PVCL			
JSE	2324		PVCL	DB07	electrical	1	1	DB07			
JSE	2325		bl17	DVA	electrical	1	1	bl17			
JSE	2326		PVR.	DVA	electrical	1	1	PVR			
JSE	2327		bl15	PDEL	electrical	1	1	bl15			
JSE	2328		PVT	DVC	electrical	1	1	DVC			
JSE	2329		DVC	AVL	electrical	1	1	DVC			
JSE	2330		VC06	PVT	electrical	1	1	VC06			
JSE	2332		bl15	PVR	electrical	1	1	bl15			
JSE	2333		bl11	DVA	electrical	1	1	DVA			
JSE	2334		PVT	PVNL	electrical	1	1	PVNL			
JSE	2335		AVHL	AVFL	electrical	1	1	AVHL			
JSE	2337		PVNR	PVNL	electrical	1	1	PVNL			
JSE	2338		PVNR	PVNL	electrical	1	1	PVNR			
JSE	2339		PVWL	PVPR	electrical	1	1	PVPR			
JSE	2340		PVWL	AVJL	electrical	1	1	AVJL			
JSE	2341		PVT	AVJL	electrical	1	1	PVT			
JSE	2342		PVPR	AVJL	electrical	1	1	PVPR			
JSE	2343		PVCL	DD06	electrical	1	1	PVCL			
JSE	2344		VB11	AVKL	electrical	1	1	VB11			
JSE	2345		bl17	VB11	electrical	1	1	VB11			
JSE	2347		VB11	PVCR	electrical	1	1	VB11			
JSE	2348		VD12	VB10	electrical	1	1	VD12			
JSE	2349		VD12	VB10	electrical	1	1	VD12			
JSE	2350		VB10	VA11	electrical	1	1	VA11			
JSE	2351		PVPR	PQR	electrical	1	1	PVPR			
JSE	2352		PVPR	PQR	electrical	1	1	PQR			
JSE	2353		bl15	DB07	electrical	1	1	bl15			
JSE	2354		bl15	DB07	electrical	1	1	DB07			
JSE	2355		PVCR	AVJL	electrical	1	1	AVJL			
JSE	2356		PVWR	PVCR	electrical	1	1	PVWR			
JSE	2357		VA11	PVCR	electrical	1	1	PVCR			
JSE	2358		PVCL	DA08	electrical	1	1	DA08			
JSE	2361		PVCR	AVAR	electrical	1	1	AVAR			
JSE	2362		PVCR	AVAR	electrical	1	1	AVAR			
JSE	2363		AVBR	AVBL	electrical	1	1	AVBR			
JSE	2364		DA07	AVAL	electrical	1	1	DA07			
JSE	2371		VD12	VB11	electrical	1	1	VB11			
JSE	2408		PVCL	PHBL	electrical	1	1	PHBL			
