EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
N2U	5982	Not NR	ADEL	FLPL,RIGR	chemical	2	2	FLPL	RIGR		
N2U	5985	Not NR	ADER	AVAL,RIGR	chemical	2	2	AVAL	RIGR		
N2U	6002	Not NR	ADEL	VB01,RIGL,ADER	chemical	2	3	VB01	RIGL	ADER	
N2U	6004	Not NR	PVPL	AVBR,AVDR	chemical	2	2	AVBR	AVDR		
N2U	6006	Not NR	BDUL	ADEL,ADAL	chemical	2	2	ADEL	ADAL		
N2U	6009	Not NR	AIML	RID,RMGL	chemical	2	2	RID	RMGL		
N2U	6014	Not NR	RMGL	AIML	chemical	2	1	AIML			
N2U	6170	Not NR	AVL.	DVC,PVPR	chemical	2	2	DVC	PVPR		
N2U	6172	Not NR	PVPL	RIGL	chemical	2	1	RIGL			
N2U	6173	Not NR	AVFL	AVFR,VB02,VB01	chemical	2	3	AVFR	VB02	VB01	
N2U	6181	Not NR	FLPR	AVAL	chemical	2	1	AVAL			
N2U	6187	Not NR	PVR.	SABD,DVA	chemical	2	2	SABD	DVA		
N2U	6188	Not NR	AVKL	hyp	chemical	2	1	hyp			
N2U	6192	Not NR	ADEL	RMGL	chemical	2	1	RMGL			
N2U	6199	Not NR	FLPR	FLPL,AVAL,AVJL	chemical	2	3	FLPL	AVAL	AVJL	
N2U	6285	Not NR	ADEL	RMGL	chemical	2	1	RMGL			
N2U	6288	Not NR	VD02	vBWML7	chemical	2	1	vBWML7			
N2U	6292	Not NR	VB02	vBWML9	chemical	2	1	vBWML9			
N2U	6374	Not NR	VA02	VD02,vBWML8	chemical	2	2	VD02	vBWML8		
N2U	6375	Not NR	VD02	vBWMR7,VA02	chemical	2	2	vBWMR7	VA02		
N2U	6376	Not NR	VA02	vBWMR7,VA01,VD02	chemical	2	3	vBWMR7	VA01	VD02	
N2U	6377	Not NR	VD02	vBWML8,VA02	chemical	2	2	vBWML8	VA02		
N2U	6385	Not NR	FLPL	AVAR,AVDR	chemical	2	2	AVAR	AVDR		
N2U	6389	Not NR	FLPL	AVDR,AVAR	chemical	2	2	AVDR	AVAR		
N2U	6390	Not NR	FLPL	AVDR,AVAR	chemical	2	2	AVDR	AVAR		
N2U	6391	Not NR	FLPL	AVDR,AVAR	chemical	2	2	AVDR	AVAR		
N2U	6393	Not NR	AVER	SABVR,AVAR	chemical	2	2	SABVR	AVAR		
N2U	6406	Not NR	BDUR	AVAL,PVCL	chemical	2	2	AVAL	PVCL		
N2U	6407	Not NR	PVPR	AVHL,HSNR	chemical	2	2	AVHL	HSNR		
N2U	6411	Not NR	FLPR	hyp,AVDL	chemical	2	2	hyp	AVDL		
N2U	6412	Not NR	FLPR	FLPL,AVDL	chemical	2	2	FLPL	AVDL		
N2U	6416	Not NR	VB01	VD01,VD02,VA02	chemical	2	3	VD01	VD02	VA02	
N2U	6418	Not NR	VC02	vBWMR9,DD01	chemical	2	2	vBWMR9	DD01		
N2U	6422	Not NR	VD02	vBWMR8,vBWML9	chemical	2	2	vBWMR8	vBWML9		
N2U	6424	Not NR	VD02	vBWMR9,vBWML8	chemical	2	2	vBWMR9	vBWML8		
N2U	6430	Not NR	VD02	vBWML8,VA02	chemical	2	2	vBWML8	VA02		
N2U	6431	Not NR	VA02	VD02,vBWMR9	chemical	2	2	VD02	vBWMR9		
N2U	6432	Not NR	VA02	DD01,vBWMR8	chemical	2	2	DD01	vBWMR8		
N2U	6434	Not NR	VA02	vBWML8	chemical	2	1	vBWML8			
N2U	6453	Not NR	VB02	VD02,vBWML9	chemical	2	2	VD02	vBWML9		
N2U	6455	Not NR	VB02	DD01	chemical	2	1	DD01			
N2U	6459	Not NR	AVM	ADER	chemical	2	1	ADER			
N2U	6460	Not NR	AVM	DA01,ADER	chemical	2	2	DA01	ADER		
N2U	6462	Not NR	BDUL	ADEL,hyp	chemical	2	2	ADEL	hyp		
N2U	6471	Not NR	VB01	VA04,SAADR,VA03	chemical	2	3	VA04	SAADR	VA03	
N2U	6487	Not NR	ADER	RMGR	chemical	2	1	RMGR			
N2U	6507	Not NR	VA01	DD01,vBWMR8	chemical	2	2	DD01	vBWMR8		
N2U	6514	Not NR	PVM	AVKL	chemical	2	1	AVKL			
N2U	6517	Not NR	AVDL	AVAR,SABVL,AVDR	chemical	2	3	AVAR	SABVL	AVDR	
N2U	6518	Not NR	PVPR	DVC	chemical	2	1	DVC			
N2U	6520	Not NR	PVCR	AVDL,AVAL	chemical	2	2	AVDL	AVAL		
N2U	6524	Not NR	AVEL	AVAL,DA01,SABVR,SABVL	chemical	2	4	AVAL	DA01	SABVR	SABVL
N2U	6534	Not NR	AVER	AVDR,AVAR	chemical	2	2	AVDR	AVAR		
N2U	6578	Not NR	VC02	vBWML8,DD01	chemical	2	2	vBWML8	DD01		
N2U	6582	Not NR	VD02	vBWML9,VB02	chemical	2	2	vBWML9	VB02		
N2U	6584	Not NR	VC02	vBWML9,VD02	chemical	2	2	vBWML9	VD02		
N2U	6587	Not NR	VC03	PVPR,VD01	chemical	2	2	PVPR	VD01		
N2U	6591	Not NR	VA02	VD02,vBWML9	chemical	2	2	VD02	vBWML9		
N2U	6594	Not NR	AVBL	AVDR,AVBR	chemical	2	2	AVDR	AVBR		
N2U	6607	Not NR	AVBR	AS01	chemical	2	1	AS01			
N2U	6613	Not NR	AVEL	AVAL,AVDL	chemical	2	2	AVAL	AVDL		
N2U	6616	Not NR	AVEL	PVCR,AVAL,AVDL	chemical	2	3	PVCR	AVAL	AVDL	
N2U	6619	Not NR	VA02	VD02,VA03	chemical	2	2	VD02	VA03		
N2U	6620	Not NR	VA03	VD02,vBWMR9	chemical	2	2	VD02	vBWMR9		
N2U	6656	Not NR	AVER	AVAR,AS01	chemical	2	2	AVAR	AS01		
N2U	6657	Not NR	AVER	AVAR,AS01	chemical	2	2	AVAR	AS01		
N2U	6659	Not NR	AVDL	AVAL,AVAR	chemical	2	2	AVAL	AVAR		
N2U	6660	Not NR	AVAR	AS01,AVER	chemical	2	2	AS01	AVER		
N2U	6663	Not NR	AVKL	hyp,AVM	chemical	2	2	hyp	AVM		
N2U	6664	Not NR	PVM	AVKL,AVM	chemical	2	2	AVKL	AVM		
N2U	6666	Not NR	PVM	PVR.,AVKL	chemical	2	2	PVR	AVKL		
N2U	6669	Not NR	AVER	AVAL,AVAR	chemical	2	2	AVAL	AVAR		
N2U	6671	Not NR	AVFL	AVG,AVL.	chemical	2	2	AVG	AVL		
N2U	6672	Not NR	AVL.	vBWML10	chemical	2	1	vBWML10			
N2U	6673	Not NR	AVL.	vBWML10	chemical	2	1	vBWML10			
N2U	6682	Not NR	AVER	AVDL,AVDR,AS01	chemical	2	3	AVDL	AVDR	AS01	
N2U	6684	Not NR	VA03	vBWML9	chemical	2	1	vBWML9			
N2U	6687	Not NR	VB02	VA03,DD01,vBWML9	chemical	2	3	VA03	DD01	vBWML9	
N2U	6784	Not NR	VD03	vBWML11	chemical	2	1	vBWML11			
N2U	6788	Not NR	AVHL	AVFR,PVQR	chemical	2	2	AVFR	PVQR		
N2U	6790	Not NR	PVNL	vBWMR11,DD01	chemical	2	2	vBWMR11	DD01		
N2U	6796	Not NR	VB02	DD01,vBWMR10	chemical	2	2	DD01	vBWMR10		
N2U	6802	Not NR	VA03	DD01,vBWML10	chemical	2	2	DD01	vBWML10		
N2U	6803	Not NR	VB02	VA03,DD01,vBWML10	chemical	2	3	VA03	DD01	vBWML10	
N2U	6804	Not NR	VA03	VD03,vBWML10	chemical	2	2	VD03	vBWML10		
N2U	6808	Not NR	VA03	VD03,vBWMR10,DD01	chemical	2	3	VD03	vBWMR10	DD01	
N2U	6812	Not NR	VA03	DD01,vBWML11	chemical	2	2	DD01	vBWML11		
N2U	6813	Not NR	VA03	DD01,vBWML10	chemical	2	2	DD01	vBWML10		
N2U	6814	Not NR	VA03	DD01,vBWML10	chemical	2	2	DD01	vBWML10		
N2U	6819	Not NR	VD03	vBWML11	chemical	2	1	vBWML11			
N2U	6825	Not NR	PVPL	vBWML10	chemical	2	1	vBWML10			
N2U	6828	Not NR	PVR.	VB03,DB02	chemical	2	2	VB03	DB02		
N2U	6829	Not NR	AVDL	AVAR,DA03,AVAL	chemical	2	3	AVAR	DA03	AVAL	
N2U	6832	Not NR	AVER	AVAR,VA02	chemical	2	2	AVAR	VA02		
N2U	6833	Not NR	AVER	AVAR,AVAL,DA03,VA02	chemical	2	4	AVAR	AVAL	DA03	VA02
N2U	6834	Not NR	AVBR	AVAL,hyp	chemical	2	2	AVAL	hyp		
N2U	6838	Not NR	AVEL	DA02,DA03,AVAL	chemical	2	3	DA02	DA03	AVAL	
N2U	6840	Not NR	PVNR	AVDR,AVEL	chemical	2	2	AVDR	AVEL		
N2U	6849	Not NR	VB02	VA03,DD01,vBWMR10	chemical	2	3	VA03	DD01	vBWMR10	
N2U	6850	Not NR	VB02	DD01,vBWMR11	chemical	2	2	DD01	vBWMR11		
N2U	6858	Not NR	AVG	vBWML11	chemical	2	1	vBWML11			
N2U	6861	Not NR	AVL.	vBWMR11,VC01	chemical	2	2	vBWMR11	VC01		
N2U	6869	Not NR	PVCR	DVA,DB02	chemical	2	2	DVA	DB02		
N2U	6871	Not NR	VB03	DD02,vBWML11	chemical	2	2	DD02	vBWML11		
N2U	6888	Not NR	AVER	AVAL,AS02	chemical	2	2	AVAL	AS02		
N2U	6889	Not NR	AVAL	DA02,DA03,VA02	chemical	2	3	DA02	DA03	VA02	
N2U	6893	Not NR	AVDR	AVAR,AVAL	chemical	2	2	AVAR	AVAL		
N2U	6896	Not NR	AVAL	AS02,VA02	chemical	2	2	AS02	VA02		
N2U	6897	Not NR	AVAR	DA02,VA02,AS02	chemical	2	3	DA02	VA02	AS02	
N2U	6903	Not NR	VA03	DD02,vBWMR11,VD03	chemical	2	3	DD02	vBWMR11	VD03	
N2U	6981	Not NR	AVEL	VA01,SABVL,SABD	chemical	2	3	VA01	SABVL	SABD	
N2U	6982	Not NR	VD01	DD01,VA01	chemical	2	2	DD01	VA01		
N2U	6984	Not NR	AVEL	AVAL,DA01,VA01	chemical	2	3	AVAL	DA01	VA01	
N2U	6988	Not NR	AVEL	DA01,VA01,SABVL,AVAL	chemical	2	4	DA01	VA01	SABVL	AVAL
N2U	6991	Not NR	AVAL	VA01,SABVL,DA01,AVER	chemical	2	4	VA01	SABVL	DA01	AVER
N2U	7153	Not NR	VA07	DD04,vBWML15	chemical	2	2	DD04	vBWML15		
N2U	7194	Not NR	AVDR	AVAL,AVAR	chemical	2	2	AVAL	AVAR		
N2U	7206	Not NR	v-blue-134	AVAL,AVDR	chemical	2	2	AVAL	AVDR		
N2U	7211	Not NR	v-blue-134	AVAR,AVDR	chemical	2	2	AVAR	AVDR		
N2U	7212	Not NR	HSNL	vulvalhyp	chemical	2	1	vulvalhyp			
N2U	7240	Not NR	AVDR	AVAR,AVAL	chemical	2	2	AVAR	AVAL		
N2U	7241	Not NR	AVAR	DA05,VA06	chemical	2	2	DA05	VA06		
N2U	7242	Not NR	AVAR	DA06,DA05,VA06	chemical	2	3	DA06	DA05	VA06	
N2U	7255	Not NR	VD07	vBWML16,VA07	chemical	2	2	vBWML16	VA07		
N2U	7258	Not NR	VD07	vBWML16	chemical	2	1	vBWML16			
N2U	7351	Not NR	AVG	vBWMR16	chemical	2	1	vBWMR16			
N2U	7360	Not NR	VB06	DD04,vBWMR15	chemical	2	2	DD04	vBWMR15		
N2U	7365	Not NR	VA07	DD04,vBWML15	chemical	2	2	DD04	vBWML15		
N2U	7368	Not NR	AVFR	vBWMR14	chemical	2	1	vBWMR14			
N2U	7369	Not NR	VB06	VD07,DD04,vBWMR14	chemical	2	3	VD07	DD04	vBWMR14	
N2U	7372	Not NR	VD07	vBWML15	chemical	2	1	vBWML15			
N2U	7384	Not NR	VB06	VD07,DD04,vBWMR14	chemical	2	3	VD07	DD04	vBWMR14	
N2U	7388	Not NR	VD07	vBWMR15	chemical	2	1	vBWMR15			
N2U	7393	Not NR	AVAL	VA05,DA05,VA06	chemical	2	3	VA05	DA05	VA06	
N2U	7404	Not NR	AVG	AVJR,AVDR,AVJL	chemical	2	3	AVJR	AVDR	AVJL	
N2U	7411	Not NR	HSNR	AS05,AVFR	chemical	2	2	AS05	AVFR		
N2U	7425	Not NR	VB06	VD07,DD04,vBWMR15	chemical	2	3	VD07	DD04	vBWMR15	
N2U	7429	Not NR	AVG	DVC,PVT	chemical	2	2	DVC	PVT		
N2U	7436	Not NR	PVM	PVCR,PDEL	chemical	2	2	PVCR	PDEL		
N2U	7440	Not NR	VD06	vBWML15	chemical	2	1	vBWML15			
N2U	7449	Not NR	PVCL	AVAR,AVG	chemical	2	2	AVAR	AVG		
N2U	7452	Not NR	AVAL	AS05,AVBL	chemical	2	2	AS05	AVBL		
N2U	7453	Not NR	AVDR	AVAR,DA05,AVAL,VA05	chemical	2	4	AVAR	DA05	AVAL	VA05
N2U	7460	Not NR	AVAL	DA05,DA04	chemical	2	2	DA05	DA04		
N2U	7462	Not NR	VB05	DD03,vBWMR14	chemical	2	2	DD03	vBWMR14		
N2U	7463	Not NR	VC03	DD03,PVT	chemical	2	2	DD03	PVT		
N2U	7481	Not NR	VD06	DD03,vBWMR13	chemical	2	2	DD03	vBWMR13		
N2U	7486	Not NR	VA06	DD03,vBWML14	chemical	2	2	DD03	vBWML14		
N2U	7494	Not NR	AVAL	PVCR,DA05	chemical	2	2	PVCR	DA05		
N2U	7499	Not NR	AVG	AVJL,AVBL,AVG	chemical	2	3	AVJL	AVBL	AVG	
N2U	7518	Not NR	VB05	VD06,DD03	chemical	2	2	VD06	DD03		
N2U	7583	Not NR	AVBR	AVDL,AVAR	chemical	2	2	AVDL	AVAR		
N2U	7584	Not NR	AVBL	hyp	chemical	2	1	hyp			
N2U	7604	Not NR	VA06	DD03,vBWML14	chemical	2	2	DD03	vBWML14		
N2U	7612	Not NR	VC02	VD05,VC03	chemical	2	2	VD05	VC03		
N2U	7615	Not NR	VC01	DD03,VD05	chemical	2	2	DD03	VD05		
N2U	7619	Not NR	VB05	DD03,vBWMR13	chemical	2	2	DD03	vBWMR13		
N2U	7627	Not NR	VA05	DD03,vBWMR14,VA06	chemical	2	3	DD03	vBWMR14	VA06	
N2U	7631	Not NR	VB05	DD03,vBWMR14	chemical	2	2	DD03	vBWMR14		
N2U	7635	Not NR	VA05	DD03,vBWMR14	chemical	2	2	DD03	vBWMR14		
N2U	7638	Not NR	PVCR	VB06,DB03,DB04	chemical	2	3	VB06	DB03	DB04	
N2U	7641	Not NR	AVG	PVNL,PVNR	chemical	2	2	PVNL	PVNR		
N2U	7645	Not NR	PDER	DVA,AVKL	chemical	2	2	DVA	AVKL		
N2U	7656	Not NR	VA05	DD03,vBWMR12	chemical	2	2	DD03	vBWMR12		
N2U	7657	Not NR	VC01	vBWMR12,DD03	chemical	2	2	vBWMR12	DD03		
N2U	7658	Not NR	AVAR	AS04,VA04	chemical	2	2	AS04	VA04		
N2U	7659	Not NR	VA06	VD05,vBWMR12,DD03	chemical	2	3	VD05	vBWMR12	DD03	
N2U	7660	Not NR	AVAL	AS04,AVDL,VA04	chemical	2	3	AS04	AVDL	VA04	
N2U	7662	Not NR	AVDL	AVAL,AS04	chemical	2	2	AVAL	AS04		
N2U	7733	Not NR	VA05	VD05,DD03,vBWML12	chemical	2	3	VD05	DD03	vBWML12	
N2U	7737	Not NR	AVER	AVAR,VA04	chemical	2	2	AVAR	VA04		
N2U	7739	Not NR	VA05	VD05,DD03,vBWMR13	chemical	2	3	VD05	DD03	vBWMR13	
N2U	7756	Not NR	AVDL	DVC	chemical	2	1	DVC			
N2U	7784	Not NR	AVDL	VA03,AVAL,DA03	chemical	2	3	VA03	AVAL	DA03	
N2U	7787	Not NR	AVAL	VA03,DA04,DA03	chemical	2	3	VA03	DA04	DA03	
N2U	7788	Not NR	AVDL	AVAR,DA04	chemical	2	2	AVAR	DA04		
N2U	7789	Not NR	VB04	DD02,vBWML13	chemical	2	2	DD02	vBWML13		
N2U	7791	Not NR	VA05	DD02,vBWML13	chemical	2	2	DD02	vBWML13		
N2U	7796	Not NR	VD04	vBWML12	chemical	2	1	vBWML12			
N2U	7815	Not NR	AVEL	AVAR,AS03,VA03	chemical	2	3	AVAR	AS03	VA03	
N2U	7833	Not NR	AVAR	PVCL,DB03	chemical	2	2	PVCL	DB03		
N2U	7840	Not NR	AVBL	AVAL	chemical	2	1	AVAL			
N2U	7841	Not NR	AVBR	hyp	chemical	2	1	hyp			
N2U	7885	Not NR	AVDL	AVAL,DA02,AVAR	chemical	2	3	AVAL	DA02	AVAR	
N2U	7888	Not NR	AVER	AVAL,DA02,AVDL,AVAR	chemical	2	4	AVAL	DA02	AVDL	AVAR
N2U	7903	Not NR	AVKL	hyp	chemical	2	1	hyp			
N2U	7909	Not NR	AVBR	AVBL,VD03	chemical	2	2	AVBL	VD03		
N2U	7910	Not NR	AVG	AVFL,VC01	chemical	2	2	AVFL	VC01		
N2U	8011	Not NR	DB01	AS01	chemical	2	1	AS01			
N2U	8012	Not NR	AS01	DB01,dBWMR7	chemical	2	2	DB01	dBWMR7		
N2U	8016	Not NR	VC02	DD02,VC01	chemical	2	2	DD02	VC01		
N2U	8017	Not NR	VC03	VD04,vBWMR11	chemical	2	2	VD04	vBWMR11		
N2U	8024	Not NR	AVAL	DA04,DA03,PVCR	chemical	2	3	DA04	DA03	PVCR	
N2U	8031	Not NR	AVG	PVNR,AVAL	chemical	2	2	PVNR	AVAL		
N2U	8034	Not NR	AVAR	AVDR,DA04,DA03	chemical	2	3	AVDR	DA04	DA03	
N2U	8053	Not NR	PVNR	VD04	chemical	2	1	VD04			
N2U	8054	Not NR	AVDR	AVAL,DA03,AVAR	chemical	2	3	AVAL	DA03	AVAR	
N2U	8055	Not NR	PVNR	VD04	chemical	2	1	VD04			
N2U	8056	Not NR	VB03	VD04,DD02,vBWML11	chemical	2	3	VD04	DD02	vBWML11	
N2U	8057	Not NR	PVM	AVKL	chemical	2	1	AVKL			
N2U	8083	Not NR	AVBR	AVAR	chemical	2	1	AVAR			
N2U	8086	Not NR	VB03	DD02,vBWML12	chemical	2	2	DD02	vBWML12		
N2U	8088	Not NR	VA04	DD02,vBWML13	chemical	2	2	DD02	vBWML13		
N2U	8094	Not NR	AVFL	hyp,AVL.	chemical	2	2	hyp	AVL		
N2U	8104	Not NR	AS01	dBWML6,DA01	chemical	2	2	dBWML6	DA01		
N2U	8105	Not NR	AS01	DA01,dBWML7	chemical	2	2	DA01	dBWML7		
N2U	8107	Not NR	DA01	dBWMR6,FLPR	chemical	2	2	dBWMR6	FLPR		
N2U	8111	Not NR	DA01	dBWMR6,VD01	chemical	2	2	dBWMR6	VD01		
N2U	8115	Not NR	RID	hyp	chemical	2	1	hyp			
N2U	8117	Not NR	DB01	VD01,d-blue-25,AS01	chemical	2	3	VD01	d-blue-25	AS01	
N2U	8118	Not NR	DA01	dBWML7,d-blue-25	chemical	2	2	dBWML7	d-blue-25		
N2U	8119	Not NR	DB01	DA01,d-blue-25	chemical	2	2	DA01	d-blue-25		
N2U	8124	Not NR	DA01	dBWML6,DD01,d-blue-25	chemical	2	3	dBWML6	DD01	d-blue-25	
N2U	8129	Not NR	DA01	dBWMR6,d-blue-25	chemical	2	2	dBWMR6	d-blue-25		
N2U	8131	Not NR	AS01	DA01,dBWMR7	chemical	2	2	DA01	dBWMR7		
N2U	8133	Not NR	AS01	DA01,dBWML7	chemical	2	2	DA01	dBWML7		
N2U	8134	Not NR	AS01	dBWMR6,DD01	chemical	2	2	dBWMR6	DD01		
N2U	8146	Not NR	DA01	dBWMR7,VD01	chemical	2	2	dBWMR7	VD01		
N2U	8147	Not NR	AS01	dBWML6,VD01	chemical	2	2	dBWML6	VD01		
N2U	8152	Not NR	DA01	dBWML7,VD02	chemical	2	2	dBWML7	VD02		
N2U	8285	Not NR	RID	RMED,DD01	chemical	2	2	RMED	DD01		
N2U	8294	Not NR	AS02	dBWMR7,VD02	chemical	2	2	dBWMR7	VD02		
N2U	8304	Not NR	DB02	DD01,VD03,DA02	chemical	2	3	DD01	VD03	DA02	
N2U	8308	Not NR	DD01	dBWMR10	chemical	2	1	dBWMR10			
N2U	8310	Not NR	DA02	VD03,DD01,dBWMR9	chemical	2	3	VD03	DD01	dBWMR9	
N2U	8313	Not NR	DA02	VD03,dBWML10	chemical	2	2	VD03	dBWML10		
N2U	8316	Not NR	DD01	dBWML9	chemical	2	1	dBWML9			
N2U	8318	Not NR	DD01	dBWMR8	chemical	2	1	dBWMR8			
N2U	8320	Not NR	DD01	DA02,dBWMR9	chemical	2	2	DA02	dBWMR9		
N2U	8325	Not NR	DB01	dBWMR9,VD02	chemical	2	2	dBWMR9	VD02		
N2U	8326	Not NR	AS02	VD02,dBWML8	chemical	2	2	VD02	dBWML8		
N2U	8328	Not NR	DB01	VD02,DD01	chemical	2	2	VD02	DD01		
N2U	8329	Not NR	DB01	dBWML9,VD02,DD01	chemical	2	3	dBWML9	VD02	DD01	
N2U	8330	Not NR	DA02	dBWMR8,VD02	chemical	2	2	dBWMR8	VD02		
N2U	8338	Not NR	AS02	RID,VD02,dBWML9	chemical	2	3	RID	VD02	dBWML9	
N2U	8339	Not NR	AS02	dBWMR9,VD02	chemical	2	2	dBWMR9	VD02		
N2U	8340	Not NR	AS02	dBWML9,VD02	chemical	2	2	dBWML9	VD02		
N2U	8341	Not NR	DB01	dBWMR8,VD02,DD01	chemical	2	3	dBWMR8	VD02	DD01	
N2U	8348	Not NR	DB01	dBWML9,VD02,DD01	chemical	2	3	dBWML9	VD02	DD01	
N2U	8350	Not NR	DD01	dBWML8	chemical	2	1	dBWML8			
N2U	8357	Not NR	DD01	dBWML8	chemical	2	1	dBWML8			
N2U	8361	Not NR	DA02	dBWML9,VD03	chemical	2	2	dBWML9	VD03		
N2U	8362	Not NR	DB02	dBWML9,VD03	chemical	2	2	dBWML9	VD03		
N2U	8368	Not NR	DD01	dBWML9	chemical	2	1	dBWML9			
N2U	8369	Not NR	DA03	VD03,dBWML10	chemical	2	2	VD03	dBWML10		
N2U	8375	Not NR	DA03	VD03,dBWML10	chemical	2	2	VD03	dBWML10		
N2U	8380	Not NR	DA03	VD03,dBWML9	chemical	2	2	VD03	dBWML9		
N2U	8383	Not NR	DA03	VD03,dBWML10	chemical	2	2	VD03	dBWML10		
N2U	8386	Not NR	DA03	VD03,dBWMR9	chemical	2	2	VD03	dBWMR9		
N2U	8449	Not NR	AS03	VD03,dBWMR10	chemical	2	2	VD03	dBWMR10		
N2U	8455	Not NR	DA03	VD03,dBWMR10	chemical	2	2	VD03	dBWMR10		
N2U	8460	Not NR	DA03	VD03,dBWML10	chemical	2	2	VD03	dBWML10		
N2U	8463	Not NR	DA03	VD03,dBWML11,DD02	chemical	2	3	VD03	dBWML11	DD02	
N2U	8464	Not NR	DB02	DD02,VD03	chemical	2	2	DD02	VD03		
N2U	8466	Not NR	DA03	VD03,dBWMR10	chemical	2	2	VD03	dBWMR10		
N2U	8469	Not NR	DA03	VD03,dBWMR11	chemical	2	2	VD03	dBWMR11		
N2U	8472	Not NR	DB02	VD03,dBWML11	chemical	2	2	VD03	dBWML11		
N2U	8480	Not NR	DB02	DD02,VD04,dBWMR11	chemical	2	3	DD02	VD04	dBWMR11	
N2U	8492	Not NR	AS04	VD04,dBWML10	chemical	2	2	VD04	dBWML10		
N2U	8493	Not NR	DD02	dBWML11	chemical	2	1	dBWML11			
N2U	8495	Not NR	DB02	VD04,dBWMR10	chemical	2	2	VD04	dBWMR10		
N2U	8637	Not NR	DD02	dBWML11	chemical	2	1	dBWML11			
N2U	8638	Not NR	DD02	dBWML12	chemical	2	1	dBWML12			
N2U	8639	Not NR	DD02	dBWMR11	chemical	2	1	dBWMR11			
N2U	8642	Not NR	AS04	VD04,dBWML10,DD02	chemical	2	3	VD04	dBWML10	DD02	
N2U	8644	Not NR	AS04	VD04,dBWMR12	chemical	2	2	VD04	dBWMR12		
N2U	8645	Not NR	AS04	dBWML11,VD04	chemical	2	2	dBWML11	VD04		
N2U	8647	Not NR	DA04	VD04,dBWML11	chemical	2	2	VD04	dBWML11		
N2U	8649	Not NR	DB02	DD02,dBWMR10	chemical	2	2	DD02	dBWMR10		
N2U	8655	Not NR	DB02	DD02,VD04,DA03	chemical	2	3	DD02	VD04	DA03	
N2U	8656	Not NR	DA03	VD04,dBWMR12	chemical	2	2	VD04	dBWMR12		
N2U	8659	Not NR	DA04	DB02,VD04,dBWML12	chemical	2	3	DB02	VD04	dBWML12	
N2U	8663	Not NR	DB03	VD04,dBWML11	chemical	2	2	VD04	dBWML11		
N2U	8666	Not NR	DB03	VD04,dBWMR12	chemical	2	2	VD04	dBWMR12		
N2U	8674	Not NR	DD02	dBWML11	chemical	2	1	dBWML11			
N2U	8680	Not NR	DA04	DD02,VD04,dBWMR12	chemical	2	3	DD02	VD04	dBWMR12	
N2U	8683	Not NR	DD02	dBWML11	chemical	2	1	dBWML11			
N2U	8684	Not NR	DD02	dBWML12	chemical	2	1	dBWML12			
N2U	8709	Not NR	DB03	VD05,dBWML11	chemical	2	2	VD05	dBWML11		
N2U	8710	Not NR	AS05	VD05,dBWML12	chemical	2	2	VD05	dBWML12		
N2U	8714	Not NR	DB03	VD05,dBWML11	chemical	2	2	VD05	dBWML11		
N2U	8716	Not NR	DA04	VD05,dBWML11	chemical	2	2	VD05	dBWML11		
N2U	8727	Not NR	DB03	DD03,dBWMR12	chemical	2	2	DD03	dBWMR12		
N2U	8734	Not NR	DA04	VD05,dBWML12	chemical	2	2	VD05	dBWML12		
N2U	8744	Not NR	DD03	dBWMR12	chemical	2	1	dBWMR12			
N2U	8749	Not NR	DD03	dBWML13	chemical	2	1	dBWML13			
N2U	8750	Not NR	DD03	dBWMR12	chemical	2	1	dBWMR12			
N2U	8776	Not NR	DA06	dBWMR13,VD06	chemical	2	2	dBWMR13	VD06		
N2U	8777	Not NR	DA05	VD06,dBWMR14	chemical	2	2	VD06	dBWMR14		
N2U	8778	Not NR	AS06	VD06,dBWML13	chemical	2	2	VD06	dBWML13		
N2U	8782	Not NR	AS06	VD06,dBWMR13	chemical	2	2	VD06	dBWMR13		
N2U	8783	Not NR	DB04	AS06,VD06,dBWMR14	chemical	2	3	AS06	VD06	dBWMR14	
N2U	8792	Not NR	DD03	dBWMR14	chemical	2	1	dBWMR14			
N2U	8801	Not NR	DA06	dBWML14,VD06	chemical	2	2	dBWML14	VD06		
N2U	8802	Not NR	DB04	DD03,VD06	chemical	2	2	DD03	VD06		
N2U	8804	Not NR	AS06	VD06,dBWMR14	chemical	2	2	VD06	dBWMR14		
N2U	8806	Not NR	DA05	VD06,dBWML14	chemical	2	2	VD06	dBWML14		
N2U	8809	Not NR	DA05	VD06,dBWMR14	chemical	2	2	VD06	dBWMR14		
N2U	8814	Not NR	DA06	dBWML14,VD06	chemical	2	2	dBWML14	VD06		
N2U	8815	Not NR	DA05	VD06,dBWMR13	chemical	2	2	VD06	dBWMR13		
N2U	8816	Not NR	DA05	VD06,dBWMR14	chemical	2	2	VD06	dBWMR14		
N2U	8818	Not NR	AS06	VD06,dBWML14,DD03	chemical	2	3	VD06	dBWML14	DD03	
N2U	8821	Not NR	DB04	DD03,dBWMR14	chemical	2	2	DD03	dBWMR14		
N2U	8869	Not NR	ADLL	AIBL,AIAL	chemical	2	2	AIBL	AIAL		
N2U	8916	Not NR	AVEL	SABD,SABVR,SABVL	chemical	2	3	SABD	SABVR	SABVL	
N2U	8919	Not NR	AVL.	SABD,AVEL,SABVR	chemical	2	3	SABD	AVEL	SABVR	
N2U	8933	Not NR	AINL	AFDR,ASIL	chemical	2	2	AFDR	ASIL		
