contin Number	EM series	Location	pre	post   	type    	sections   	partner Number	post1     	post2   	post3 	post4   
6210	N930	NR 45 deg	RMHR	NRmotor,mus-L	chemical	10	2	NRmotor	mus-L		
5869	N930	NR 45 deg	RMDR	RMDDR	electrical	10	1	RMDDR			
5825	N930	NR 45 deg	seamL	[hyp]	electrical	10	1	[hyp]			
5658	N930	NR 45 deg	IL2R	[RIBR]	chemical	10	1	[RIBR]			
5038	N930	NR in plane	CEPDL	OLQDL,IL1DL	chemical	10	2	OLQDL	IL1DL		
4958	N930	Not NR	VC74	unk111,[AVBR],[MCMR]	chemical	10	3	unk111	[AVBR]	[MCMR]	
4593	N930	NR 45 deg	IL1R	mus-VR,RMDDR	chemical	10	2	mus-VR	RMDDR		
4575	N2Y		HOA	PHCR,PDB	chemical	10	2	PHCR	PDB		
4552	N930	NR 45 deg	SMDVR	RIAR,RIAL	chemical	10	2	RIAR	RIAL		
4516	N2Y		R8AR	PVNR,PHCR	chemical	10	2	PVNR	PHCR		
2926	N2Y		CP05	CA05,PVZ,SPVL	chemical	10	3	CA05	PVZ	SPVL	
2835	N2Y		HOB	DVE,EF2,EF1	chemical	10	3	DVE	EF2	EF1	
2704	N2Y		PHCR	PCBR,PVZ,CA05	chemical	10	3	PCBR	PVZ	CA05	
2663	N2Y		PVX	DD06,AVBR,DB07	chemical	10	3	DD06	AVBR	DB07	
2508	N2Y		PHAL	EF3,R3BR	chemical	10	2	EF3	R3BR		
2290	N2Y		PVNL	EF3,PVY	chemical	10	2	EF3	PVY		
2276	N2Y		PVNL	PGA,R7BR,EF2,PHDR,[CA04],[R7BL]	chemical	10	6	PGA	R7BR	EF2	
2266	N2Y		R9AL	EF3,DX3	chemical	10	2	EF3	DX3		
2235	N930	Not NR	SMBDR	ABLP-20	electrical	10	1	ABLP-20			
2211	N930	Not NR	SMBDL	ABRP-2	electrical	10	1	ABRP-2			
2123	N930	Not NR	RIVR	NR108,GLRVL,mus-VC	chemical	10	3	NR108	GLRVL	mus-VC	
2111	N2Y		SPVR	EF1,SPCR	chemical	10	2	EF1	SPCR		
1862	N2Y		CP09	PVV,PVX	chemical	10	2	PVV	PVX		
1259	N2Y		R4BR	R6AR,AS11	chemical	10	2	R6AR	AS11		
739	N930	NR 45 deg	RIH	OLQDR,CEPDR	chemical	10	2	OLQDR	CEPDR		
705	N2Y		R9BR	DB07,R9BL	chemical	10	2	DB07	R9BL		
630	N2Y		AVFR	PQR,PVCL,R5BR	chemical	10	3	PQR	PVCL	R5BR	
603	N2Y		R5BR	PVV,hyp	chemical	10	2	PVV	hyp		
504	N2Y		R2BL	PHCL,R2BL,SPCL	chemical	10	3	PHCL	R2BL	SPCL	
390	N2Y		R2BR	[CA04],R6AR,R7BR	chemical	10	3	[CA04]	R6AR	R7BR	
311	N2Y		R3BL	EF3,unk228[EFn]	chemical	10	2	EF3	unk228[EFn]		
282	N2Y		R3BL	HOB,EF1	chemical	10	2	HOB	EF1		
272	N2Y		R3BL	DX2,EF1	chemical	10	2	DX2	EF1		
111	N2Y		R2BR	[CA04],PHCR,PCBR,PVY	chemical	10	4	[CA04]	PHCR	PCBR	PVY
10736	N930	Not NR	RIVR	RIVL	electrical	9	1	RIVL			
10588	N930	Not NR	RIFL	[RIML],[AVBL]	chemical	9	2	[RIML]	[AVBL]		
10396	N930	NR 45 deg	NRRfrag	URXR,IL1R	chemical	9	2	URXR	IL1R		
10032	N930	NR 45 deg	OLQDL	OLLL	electrical	9	1	OLLL			
9959	N2Y		VA09	AVAR	electrical	9	1	AVAR			
9957	N930	NR in plane	URADR	mus-D,RMER,mus-DR,RIPR	chemical	9	4	mus-D	RMER	mus-DR	RIPR
9927	N930	NR 45 deg	RMED	GLRDR	electrical	9	1	GLRDR			
9413	N930	NR in plane	AVAR	AVAL	electrical	9	1	AVAL			
