contin Number	EM series	Location	pre	post   	type    	sections   	partner Number	post1     	post2   	post3 	post4   
9390	N930	Not NR	[AWBL]	ADFL,RIAL	chemical	2	2	ADFL	RIAL		
9379	N2Y		hyp	EF2	electrical	2	1	EF2			
9373	N2Y		vBWMR19	[vBWMR19]	electrical	2	1	[vBWMR19]			
9358	N2Y		PVCL	AVAR	electrical	2	1	AVAR			
9353	N2Y		CP06	CP05	electrical	2	1	CP05			
9353	N930	Not NR	[SMDVL]	RIBR	electrical	2	1	RIBR			
9351	N2Y		DA06	AVAL	electrical	2	1	AVAL			
9347	N930	NR in plane	[AUAL]	NRDfrag	chemical	2	1	NRDfrag			
9346	N2Y		vBWMR19	[vBWML20]	electrical	2	1	[vBWML20]			
9337	N930	NR in plane	NRDfrag	[AFDL]	chemical	2	1	[AFDL]			
9335	N930	NR in plane	NRDfrag	[AFDL]	chemical	2	1	[AFDL]			
9331	N930	NR in plane	[AFDL]	[AIYL]	chemical	2	1	[AIYL]			
9330	N2Y		PVM	PDER	electrical	2	1	PDER			
9330	N930	NR in plane	[AFDL]	[AIYL]	chemical	2	1	[AIYL]			
9329	N2Y		hyp	AVKR	electrical	2	1	AVKR			
9309	N2Y		EF3	AVJR	electrical	2	1	AN2b			
9302	N2Y		CA06	CA05	electrical	2	1	CA05			
9298	N2Y		vBWMR19	vBWML19	electrical	2	1	vBWML19			
9296	N930	NR 45 deg	[PVT]	[AVKR],AVL	chemical	2	2	[AVKR]	AVL		
9288	N2Y		PVM	PDEL	electrical	2	1	PDEL			
9287	N2Y		hyp	AVKR	electrical	2	1	AVKR			
9283	N2Y		VA10	AVAL	electrical	2	1	AVAL			
9256	N2Y		SPVR	CA06	electrical	2	1	CA06			
9229	N2Y		VA10	AVAL	electrical	2	1	AVAL			
9228	N2Y		hyp	PVS	electrical	2	1	PVS			
9215	N2Y		VA09	DA08	electrical	2	1	DA08			
9214	N2Y		hyp	DA07	electrical	2	1	DA07			
9210	N930	Not NR	vc-right	contin7197	electrical	2	1	contin7197			
9209	N2Y		contin5915[CA][Pn]	CP05	electrical	2	1	CP05			
9207	N930	Not NR	VGfrag6	NR126	electrical	2	1	NR126			
9206	N930	NR 45 deg	[DVC]	CEMVR,RIBR	chemical	2	2	CEMVR	RIBR		
9198	N930	NR 45 deg	[RIGR]	[PLNR]	chemical	2	1	[PLNR]			
9197	N930	NR 45 deg	[PLNR]	VGfrag40,SAADR	chemical	2	2	VGfrag40	SAADR		
9196	N930	NR 45 deg	[PLNR]	SAADR	chemical	2	1	SAADR			
9193	N930	Not NR	contin7601	VGfrag	electrical	2	1	VGfrag			
9189	N930	Not NR	vc-left-24	RIS	electrical	2	1	RIS			
9187	N930	Not NR	vc-left-24	RIS	electrical	2	1	RIS			
9185	N930	NR 45 deg	OLQDR	[RICR]	chemical	2	1	[RICR]			
9183	N2Y		VB09	VB08	electrical	2	1	VB08			
9182	N930	NR 45 deg	[RMHL]	mus-VR,CEPDR	chemical	2	2	mus-VR	CEPDR		
9172	N930	NR 45 deg	NRR	URXR,OLQVR	chemical	2	2	URXR	OLQVR		
9170	N2Y		VB10	AVBR	electrical	2	1	AVBR			
9164	N2Y		VB10	AVAL	electrical	2	1	AVAL			
9162	N2Y		VB10	AVAL	electrical	2	1	AVAL			
9159	N930	NR 45 deg	[RICR]	[AVKL]	electrical	2	1	[AVKL]			
9158	N2Y		DA08	DA07	electrical	2	1	DA07			
9157	N2Y		VB10	AVBR	electrical	2	1	AVBR			
9156	N930	Not NR	AIZR	SMBDR,SMBVR	chemical	2	2	SMBDR	SMBVR		
9155	N930	Not NR	RIAR	[AIZL]	chemical	2	1	[AIZL]			
9154	N930	Not NR	[ASIR]	VGfragment,AFDR	chemical	2	2	VGfragment	AFDR		
9151	N2Y		VA10	AVAL	electrical	2	1	AVAL			
9149	N2Y		VB10	AVAL	electrical	2	1	AVAL			
9148	N2Y		CA06	CA05	electrical	2	1	CA05			
9140	N930	Not NR	[AIYL]	RIAL,RIBL,[AIZL]	chemical	2	3	RIAL	RIBL	[AIZL]	
9138	N930	NR in plane	vc-2815	[RIBL]	chemical	2	1	[RIBL]			
9136	N2Y		AVG	AVBR	electrical	2	1	AVBR			
9135	N2Y		EF2	EF1	electrical	2	1	EF1			
9128	N2Y		VB11	VB10	electrical	2	1	VB10			
9128	N930	NR in plane	vc-2815	NRD,AVEL,AVER	chemical	2	3	NRD	AVEL	AVER	
9122	N930	Not NR	[AUAR]	RIAR,ADFR	chemical	2	2	RIAR	ADFR		
9115	N930	NR 45 deg	[RIGR]	[RMHL]	chemical	2	1	[RMHL]			
9114	N2Y		EF3	EF2	electrical	2	1	EF2			
9114	N930	NR 45 deg	[RIGR]	[RMHL]	chemical	2	1	[RMHL]			
9113	N930	NR 45 deg	[RIGR]	[AVKL],[RMHL]	chemical	2	2	[AVKL]	[RMHL]		
9103	N2Y		EF3	CP05	electrical	2	1	CP05			
9102	N930	Not NR	AIYR	RIAR,AIZR	chemical	2	2	RIAR	AIZR		
9101	N2Y		contin5919[CA][Pn]	contin5915[CA][Pn]	electrical	2	1	contin5915[CA][Pn]			
9088	N2Y		[PVX]	AVAR	electrical	2	1	AVAR			
9083	N2Y		PVCR	PDEL	electrical	2	1	PDEL			
9081	N930	NR 45 deg	[AINR]	RIAL	chemical	2	1	RIAL			
9075	N2Y		DD05	CA08	electrical	2	1	CA08			
9072	N930	Not NR	[PVN_2]	[PVN_],contin9061	chemical	2	2	[PVN_]	contin9061		
9071	N2Y		EF1	DD05	electrical	2	1	DD05			
9068	N930	NR 45 deg	NRRfrag	[RIBR]	chemical	2	1	[RIBR]			
9065	N930	Not NR	[Excretory Gland]	RMDDR,[RICR]	chemical	2	2	RMDDR	[RICR]		
9064	N930	NR 45 deg	NRVfrag9	[PVT],AVL	chemical	2	2	[PVT]	AVL		
9063	N930	Not NR	[MCMR]	RMDDR,VC25	chemical	2	2	RMDDR	VC25		
9060	N2Y		vBWMR21	[vBWMR21]	electrical	2	1	[vBWMR21]			
9054	N930	Not NR	AVAR	AVAL,[RIGR]	chemical	2	2	AVAL	[RIGR]		
9049	N930	NR in plane	RIS	RMDR,[RIML]	chemical	2	2	RMDR	[RIML]		
9045	N930	Not NR	[EF2]	[EF1],CEPshVR	chemical	2	2	[EF1]	CEPshVR		
9039	N930	Not NR	[FLPR]	AVAR,FLPL	chemical	2	2	AVAR	FLPL		
9038	N930	Not NR	SMBVL	vc-2928,[MCML]	chemical	2	2	vc-2928	[MCML]		
9036	N930	Not NR	AVM	PVCL,[AVBL],[AVJL]	chemical	2	3	PVCL	[AVBL]	[AVJL]	
9034	N2Y		PVCR	AVAR	electrical	2	1	AVAR			
9033	N930	Not NR	AWAL	[AUAL],[AFDL]	chemical	2	2	[AUAL]	[AFDL]		
9032	N930	Not NR	[ASIL]	[AFDL],[AWCL]	chemical	2	2	[AFDL]	[AWCL]		
9029	N2Y		VB06	PVCL	electrical	2	1	PVCL			
9029	N930	Not NR	RIFL	[RIML],[AVBL]	chemical	2	2	[RIML]	[AVBL]		
9028	N930	Not NR	vc-left-24	[AIYL],SIBDL,[AVBL]	chemical	2	3	[AIYL]	SIBDL	[AVBL]	
9022	N2Y		[CA08]	DD05	electrical	2	1	DD05			
9019	N2Y		unk5963	DD05	electrical	2	1	DD05			
9016	N930	Not NR	[RIGL]	[AVKL]	electrical	2	1	[AVKL]			
9014	N2Y		unk6012	unk6011	electrical	2	1	unk6011			
9010	N2Y		unk6012	unk6011	electrical	2	1	unk6011			
9010	N930	Not NR	[ADER]	[RIGL],[ADEL]	chemical	2	2	[RIGL]	[ADEL]		
9007	N2Y		CA06	CA05	electrical	2	1	CA05			
9007	N930	Not NR	[AIZL]	SMBVR,RIAR	chemical	2	2	SMBVR	RIAR		
9006	N2Y		CA06	CA05	electrical	2	1	CA05			
9006	N930	NR 45 deg	RMGR	[RIBR],SIBVR	chemical	2	2	[RIBR]	SIBVR		
9000	N2Y		unk6012	unk6011	electrical	2	1	unk6011			
8999	N930	Not NR	[AWBR]	ADFR,RIAR	chemical	2	2	ADFR	RIAR		
8993	N930	Not NR	ADFR	RIAR,AIZR	chemical	2	2	RIAR	AIZR		
8992	N930	Not NR	[AWBR]	RIBR,AIZR	chemical	2	2	RIBR	AIZR		
8988	N930	Not NR	[RIMR]	SMDDL,SMDVR	chemical	2	2	SMDDL	SMDVR		
8986	N2Y		PVCR	AVAR	electrical	2	1	AVAR			
8986	N930	Not NR	SDQR	RIVR,[AVBR],PVCL	chemical	2	3	RIVR	[AVBR]	PVCL	
8985	N2Y		PVCR	AVAR	electrical	2	1	AVAR			
8982	N2Y		VB09	VB08	electrical	2	1	VB08			
8974	N2Y		CA06	CA05	electrical	2	1	CA05			
8967	N2Y		[PVX]	PQR	electrical	2	1	PQR			
8967	N930	Not NR	NRVLfrag	AVAR	electrical	2	1	AVAR			
8966	N930	Not NR	NRVLfrag	AVAR	electrical	2	1	AVAR			
8961	N930	NR 45 deg	[AUAL]	[AINR],RIAL	chemical	2	2	[AINR]	RIAL		
8959	N930	NR 45 deg	ADAL	RIAL,[AINR]	chemical	2	2	RIAL	[AINR]		
8958	N930	NR 45 deg	ADFL	[RIGL],OLQVL	chemical	2	2	[RIGL]	OLQVL		
8956	N930	NR 45 deg	frag	[RIGL],RMFL	chemical	2	2	[RIGL]	RMFL		
8950	N2Y		[AVL]	EF2	electrical	2	1	EF2			
8948	N2Y		VB07	DB05	electrical	2	1	DB05			
8947	N930	Not NR	[ASGL]	[AIAL?]	chemical	2	1	[AIAL?]			
8946	N930	NR 45 deg	RICL	SMDDL,AVAR	chemical	2	2	SMDDL	AVAR		
8943	N930	Not NR	VC36(RVGCB4)	[AVBL]	chemical	2	1	[AVBL]			
8941	N930	Not NR	VC36(RVGCB4)	[AVBL]	chemical	2	1	[AVBL]			
8931	N930	NR 45 deg	[RIMR]	mus-VL	chemical	2	1	mus-VL			
8917	N2Y		contin5934[AVF][AVH][AVJ][PVN]	PVCR	electrical	2	1	PVCR			
8908	N2Y		AVAL	AS09	electrical	2	1	AS09			
8899	N2Y		DVA	DB06	electrical	2	1	DB06			
8892	N2Y		SPVR	DD06	electrical	2	1	DD06			
8892	N930	NR in plane	RIS	[RIMR],AVER	chemical	2	2	[RIMR]	AVER		
8887	N2Y		AVAR	AVAL	electrical	2	1	AVAL			
8886	N930	NR 45 deg	NRR	AVER	chemical	2	1	AVER			
8883	N930	NR 45 deg	[RIGL]	RMFL,NRL	chemical	2	2	RMFL	NRL		
8880	N930	Not NR	[AINR]	[CEPshVL],[CEPVL]	chemical	2	2	[CEPshVL]	[CEPVL]		
8873	N2Y		AVAR	AS09	electrical	2	1	AS09			
8871	N2Y		AVAR	AS09	electrical	2	1	AS09			
8852	N2Y		AVAL	AS09	electrical	2	1	AS09			
8848	N2Y		VB09	VB08	electrical	2	1	VB08			
8846	N2Y		PVS	PVQL	electrical	2	1	PVQL			
8845	N2Y		dglR1	[vBWMR21]	electrical	2	1	[vBWMR21]			
8844	N930	Not NR	SAAVR	RMDVR	electrical	2	1	RMDVR			
8826	N2Y		dBWML23	[dBWML22]	electrical	2	1	[dBWML22]			
8825	N930	NR 45 deg	SAAVR	[RIML],AVAR	chemical	2	2	[RIML]	AVAR		
8824	N930	NR 45 deg	SAAVR	[RIML],AVAR	chemical	2	2	[RIML]	AVAR		
8822	N2Y		PCBR	HOB	electrical	2	1	HOB			
8821	N2Y		PHBR	PHAR	electrical	2	1	PHAR			
8820	N2Y		unk5839	dBWML23	electrical	2	1	dBWML23			
8817	N2Y		PHBR	PHAR	electrical	2	1	PHAR			
8816	N930	NR 45 deg	RMDR	RIAL,RMDDL	chemical	2	2	RIAL	RMDDL		
8812	N930	NR 45 deg	RMDR	RIAL	chemical	2	1	RIAL			
8811	N930	NR 45 deg	RIAL	RMDDR,RMDVL	chemical	2	2	RMDDR	RMDVL		
8807	N2Y		dBWML23	VD13	electrical	2	1	VD13			
8807	N930	NR 45 deg	[AQR]	[AVBL]	chemical	2	1	[AVBL]			
8806	N2Y		dBWMR24	dBWML24	electrical	2	1	dBWML24			
8806	N930	Not NR	SAAVL	[RIMR],AVAL	chemical	2	2	[RIMR]	AVAL		
8805	N2Y		dBWMR24	DX2	electrical	2	1	DX2			
8805	N930	Not NR	[ASKL]	[ASHL],VC16	chemical	2	2	[ASHL]	VC16		
8800	N2Y		dBWML24	dBWML23	electrical	2	1	dBWML23			
8799	N2Y		unk5798	dBWMR24	electrical	2	1	dBWMR24			
8797	N2Y		dBWMR24	dBWML24	electrical	2	1	dBWML24			
8795	N930	NR 45 deg	[RICR]	NRDRfrag[AVD],AVAR	chemical	2	2	NRDRfrag[AVD]	AVAR		
8794	N930	NR 45 deg	[AQR]	NRRfrag,RIAR	chemical	2	2	NRRfrag	RIAR		
8793	N930	NR 45 deg	[AQR]	[PVCR]	chemical	2	1	[PVCR]			
8791	N930	NR 45 deg	NRL	RMDDL,mus-VL	chemical	2	2	RMDDL	mus-VL		
8787	N2Y		vBWMR24	vBWMR23	electrical	2	1	vBWMR23			
8786	N2Y		vBWMR24	vBWMR23	electrical	2	1	vBWMR23			
8785	N930	NR 45 deg	IL1L	mus-NRL,RMDDL	chemical	2	2	mus-NRL	RMDDL		
8784	N930	NR 45 deg	OLLL	RMDR,RMDDL	chemical	2	2	RMDR	RMDDL		
8781	N930	NR 45 deg	RICL	AVAR,[RIML]	chemical	2	2	AVAR	[RIML]		
8779	N930	NR 45 deg	[RICR]	AVAR	chemical	2	1	AVAR			
8778	N2Y		vBWMR24	cdlR	electrical	2	1	cdlR			
8776	N2Y		vBWMR24	dglR7	electrical	2	1	dglR7			
8776	N930	NR in plane	SMDDL	NRD,mus-D	chemical	2	2	NRD	mus-D		
8770	N930	NR 45 deg	[RIML]	NR,NRLfrag\\	chemical	2	2	NR	NRLfrag\\		
8768	N2Y		dBWML24	dBWML23	electrical	2	1	dBWML23			
8768	N930	NR 45 deg	RMDDL	RMDVR,mus-VR	chemical	2	2	RMDVR	mus-VR		
8767	N2Y		dBWML24	dBWML23	electrical	2	1	dBWML23			
8766	N2Y		dBWML24	dBWML23	electrical	2	1	dBWML23			
8766	N930	NR 45 deg	IL1R	mus-VR,RMDVR	chemical	2	2	mus-VR	RMDVR		
8760	N930	NR 45 deg	IL1R	mus-VR,RMDVR	chemical	2	2	mus-VR	RMDVR		
8757	N2Y		unk5763	dBWML24	electrical	2	1	dBWML24			
8757	N930	NR 45 deg	[AINR]	RIAL	chemical	2	1	RIAL			
8752	N2Y		dBWML24	dBWML23	electrical	2	1	dBWML23			
8752	N930	NR 45 deg	OLLL	AVER,RMDR	chemical	2	2	AVER	RMDR		
8749	N2Y		dBWMR24	dBWML24	electrical	2	1	dBWML24			
8749	N930	NR 45 deg	NRL	[CEPshVL],[AINR]	chemical	2	2	[CEPshVL]	[AINR]		
8746	N930	NR 45 deg	[AQR]	RIAL	chemical	2	1	RIAL			
8742	N2Y		pobR	grtR	electrical	2	1	grtR			
8740	N2Y		PDA	DA09	electrical	2	1	DA09			
8739	N2Y		grtR	aobR	electrical	2	1	aobR			
8738	N930	NR 45 deg	[RIML]	NRLfrag\\,[AVBR]	chemical	2	2	NRLfrag\\	[AVBR]		
8734	N2Y		grtR	aobR	electrical	2	1	aobR			
8733	N2Y		aobR	aobR	electrical	2	1	aobR			
8728	N2Y		vspR	dspR	electrical	2	1	dspR			
8726	N2Y		SPVR	R8AR	electrical	2	1	R8AR			
8712	N2Y		HOB	HOA	electrical	2	1	HOA			
8710	N2Y		PVCL	PHAL	electrical	2	1	PHAL			
8709	N2Y		PVWL	LUAL	electrical	2	1	LUAL			
8707	N2Y		SPVL	R8AL	electrical	2	1	R8AL			
8702	N2Y		HOB	DVB	electrical	2	1	DVB			
8701	N2Y		HOB	DVB	electrical	2	1	DVB			
8683	N2Y		adp	CA06	electrical	2	1	CA06			
8680	N2Y		vBWML23	vBWML22	electrical	2	1	vBWML22			
8677	N2Y		vBWML23	cdlL	electrical	2	1	cdlL			
8666	N2Y		dglR6	ailR	electrical	2	1	ailR			
8656	N2Y		sph	dglR6	electrical	2	1	dglR6			
8655	N2Y		mus5570	dglR6	electrical	2	1	dglR6			
8654	N2Y		vBWMR23	dglR6	electrical	2	1	dglR6			
8652	N2Y		sph	dglR6	electrical	2	1	dglR6			
8650	N2Y		sph	dglR6	electrical	2	1	dglR6			
8638	N930	Not NR	[AVFL]	[MCML],[AVBL]	chemical	2	2	[MCML]	[AVBL]		
8637	N2Y		dspR	adp	electrical	2	1	adp			
8635	N2Y		dspR	adp	electrical	2	1	adp			
8633	N2Y		dglL7	aobL	electrical	2	1	aobL			
8626	N2Y		grtR	aobR	electrical	2	1	aobR			
8625	N2Y		PHso1R	PHBR	electrical	2	1	PHBR			
8622	N930	Not NR	[PVN_2]	[PVN_],[PVQR]	chemical	2	2	[PVN_]	[PVQR]		
8619	N2Y		R2shR	R1shR	electrical	2	1	R1shR			
8619	N930	NR 45 deg	NRL	RMDL,[AVKL]	chemical	2	2	RMDL	[AVKL]		
8616	N2Y		grtL	PCAL	electrical	2	1	PCAL			
8615	N930	NR 45 deg	[RIGL]	RMHR,PLNL	chemical	2	2	RMHR	PLNL		
8611	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8610	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8609	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8605	N2Y		gecL	adp	electrical	2	1	adp			
8603	N2Y		gecR	adp	electrical	2	1	adp			
8603	N930	Not NR	[AWCL]	[AIYL]	chemical	2	1	[AIYL]			
8602	N2Y		gecR	adp	electrical	2	1	adp			
8600	N930	NR 45 deg	NRLfrag	[DVC],[AVKR]	chemical	2	2	[DVC]	[AVKR]		
8590	N930	NR 45 deg	[RIGL]	RMHR,[AVKR]	chemical	2	2	RMHR	[AVKR]		
8589	N2Y		unk5518[R4shR]	R5shR	electrical	2	1	R5shR			
8589	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8588	N2Y		unk5518[R4shR]	R5shR	electrical	2	1	R5shR			
8587	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8586	N930	NR 45 deg	[RIGL]	RMHR	chemical	2	1	RMHR			
8585	N2Y		dBWMR24	adp	electrical	2	1	adp			
8583	N930	NR 45 deg	[RIGL]	[AVKR]	chemical	2	1	[AVKR]			
8582	N930	NR 45 deg	[RIGL]	[AVKR]	chemical	2	1	[AVKR]			
8581	N930	NR 45 deg	[RIGL]	[AVKR]	chemical	2	1	[AVKR]			
8578	N930	NR 45 deg	ADAL	[RIGL],[DVC]	chemical	2	2	[RIGL]	[DVC]		
8577	N930	NR 45 deg	[RIGL]	NRVL,[AVKR]	chemical	2	2	NRVL	[AVKR]		
8574	N930	Not NR	AVDL	ALMR,###	chemical	2	2	ALMR	###		
8571	N930	NR 45 deg	OLLR	NRRfrag	chemical	2	1	NRRfrag			
8570	N930	NR 45 deg	OLLR	NRRfrag	chemical	2	1	NRRfrag			
8568	N930	Not NR	[ASKL]	[AINR]	chemical	2	1	[AINR]			
8567	N930	Not NR	[ASEL]	[AIBL],[ASKL]	chemical	2	2	[AIBL]	[ASKL]		
8560	N930	NR 45 deg	OLLL	RMDR,RMDDL	chemical	2	2	RMDR	RMDDL		
8559	N930	NR 45 deg	RMEL	mus-VR	chemical	2	1	mus-VR			
8558	N930	NR 45 deg	RMEL	mus-VR	chemical	2	1	mus-VR			
8556	N930	NR 45 deg	NRDRfrag	[AVKR],RMDR	chemical	2	2	[AVKR]	RMDR		
8554	N2Y		R5shL	R3shL	electrical	2	1	R3shL			
8553	N930	NR in plane	OLQDR	RMDDL,SIBVR	chemical	2	2	RMDDL	SIBVR		
8552	N930	NR 45 deg	RIS	NRRfrag,[AVKR]	chemical	2	2	NRRfrag	[AVKR]		
8551	N2Y		R5shL	R3shL	electrical	2	1	R3shL			
8549	N2Y		R3shL	R2shL	electrical	2	1	R2shL			
8547	N2Y		R3shL	R2shL	electrical	2	1	R2shL			
8538	N930	NR 45 deg	NRRfrag	URXR	chemical	2	1	URXR			
8537	N2Y		R2shL	R2AL	electrical	2	1	R2AL			
8532	N930	NR 45 deg	CEPDL	NRLfrag	chemical	2	1	NRLfrag			
8529	N2Y		R4AL	R2shL	electrical	2	1	R2shL			
8528	N2Y		R2shL	R2AL	electrical	2	1	R2AL			
8526	N2Y		[PVCR]	PVWR	electrical	2	1	PVWR			
8525	N930	NR in plane	CEMDL	CEPDL,mus-DL	chemical	2	2	CEPDL	mus-DL		
8522	N930	Not NR	[ADLL]	[AIBL],[ASHL]	chemical	2	2	[AIBL]	[ASHL]		
8517	N930	NR 45 deg	[AVKR]	NRVfrag,RIML	chemical	2	2	NRVfrag	RIML		
8516	N2Y		vsrR	dBWMR23	electrical	2	1	dBWMR23			
8514	N2Y		vsrR	dBWMR22	electrical	2	1	dBWMR22			
8511	N2Y		vsrR	dBWMR22	electrical	2	1	dBWMR22			
8505	N930	Not NR	[ASHL]	[AIBL],VC16	chemical	2	2	[AIBL]	VC16		
8501	N2Y		vBWMR24	cdlR	electrical	2	1	cdlR			
8501	N930	Not NR	[ASHL]	[AIBL],VC16	chemical	2	2	[AIBL]	VC16		
8500	N930	Not NR	[AIZL]	SMBDL,RIAR	chemical	2	2	SMBDL	RIAR		
8490	N2Y		R4BR	R4AR	electrical	2	1	R4AR			
8489	N2Y		vBWMR22	polR	electrical	2	1	polR			
8488	N2Y		vBWMR22	polR	electrical	2	1	polR			
8482	N2Y		polR	mus5350	electrical	2	1	mus5350			
8480	N2Y		unk5463	R7AR	electrical	2	1	R7AR			
8479	N2Y		polR	mus5350	electrical	2	1	mus5350			
8477	N2Y		unk5348	R7AR	electrical	2	1	R7AR			
8475	N2Y		CP06	CP05	electrical	2	1	CP05			
8473	N2Y		CP06	CP05	electrical	2	1	CP05			
8472	N2Y		CP06	CP05	electrical	2	1	CP05			
8469	N930	NR 45 deg	RMDR	RMDDR	electrical	2	1	RMDDR			
8468	N2Y		sph	dglR7	electrical	2	1	dglR7			
8468	N930	NR 45 deg	RIAL	RIAL,RMDDR,RMDVL	chemical	2	3	RIAL	RMDDR	RMDVL	
8464	N930	NR in plane	URADL	RIPL,mus-DL	chemical	2	2	RIPL	mus-DL		
8460	N2Y		sph	dglR6	electrical	2	1	dglR6			
8460	N930	Not NR	contin7282	[ADEL],vc-left-14	chemical	2	2	[ADEL]	vc-left-14		
8459	N2Y		sph	dglR6	electrical	2	1	dglR6			
8454	N2Y		R2BR	R2AR	electrical	2	1	R2AR			
8448	N2Y		R4AR	R2AR	electrical	2	1	R2AR			
8447	N2Y		R4AR	R2AR	electrical	2	1	R2AR			
8446	N2Y		R2shR	R2AR	electrical	2	1	R2AR			
8446	N930	NR in plane	RMDDR	mus-DL,SMBDR	chemical	2	2	mus-DL	SMBDR		
8445	N2Y		R2shR	R2AR	electrical	2	1	R2AR			
8445	N930	NR in plane	OLQDL	RMDDR	chemical	2	1	RMDDR			
8438	N2Y		R2BR	R2AR	electrical	2	1	R2AR			
8433	N2Y		dsrL	dBWML23	electrical	2	1	dBWML23			
8426	N930	Not NR	[AIAR]	AWAR	electrical	2	1	AWAR			
8425	N930	Not NR	[EF3]	[ASKR]	electrical	2	1	[ASKR]			
8424	N2Y		dglL6	dglL5	electrical	2	1	dglL5			
8423	N2Y		sph	dglL6	electrical	2	1	dglL6			
8418	N930	Not NR	[EF1]	[RIFR],VC25	chemical	2	2	[RIFR]	VC25		
8416	N930	NR 45 deg	RMDR	[URXL]	chemical	2	1	[URXL]			
8415	N930	NR 45 deg	RMDR	[URXL]	chemical	2	1	[URXL]			
8411	N930	Not NR	VGfrag4	RIAR,vc-6105	chemical	2	2	RIAR	vc-6105		
8407	N2Y		SPDL	SPCL	electrical	2	1	SPCL			
8402	N2Y		SPVL	SPCL	electrical	2	1	SPCL			
8397	N2Y		R6AR	R4AR	electrical	2	1	R4AR			
8394	N930	Not NR	[ASGR]	AIBR,[AIAR]	chemical	2	2	AIBR	[AIAR]		
8390	N930	Not NR	AWAR	AIZR	chemical	2	1	AIZR			
8387	N930	Not NR	AIZR	[AIBL],[RIMR]	chemical	2	2	[AIBL]	[RIMR]		
8384	N930	Not NR	[AIZL]	RIAL,ADFL,SMBVL	chemical	2	3	RIAL	ADFL	SMBVL	
8383	N2Y		sph	dglL6	electrical	2	1	dglL6			
8383	N930	Not NR	AVL	[PVT]	chemical	2	1	[PVT]			
8380	N930	Not NR	AWAL	[AFDL],NR32,[ASEL]	chemical	2	3	[AFDL]	NR32	[ASEL]	
8379	N2Y		vspL	sph	electrical	2	1	sph			
8377	N930	Not NR	[ASEL]	[AIYL],[AWCL]	chemical	2	2	[AIYL]	[AWCL]		
8376	N2Y		[cdlL/dBWM22L/dBWM23L/polL]	[cdlL/dBWM22L/dBWM23L/polL]	electrical	2	1	[cdlL/dBWM22L/dBWM23L/polL]			
8360	N2Y		R3BR	R2AR	electrical	2	1	R2AR			
8360	N930	Not NR	[MCML]	[AVBL],[CEMVL]	chemical	2	2	[AVBL]	[CEMVL]		
8359	N2Y		R6AR	R4AR	electrical	2	1	R4AR			
8359	N930	Not NR	CEMVR	[AVBR],AVDL	chemical	2	2	[AVBR]	AVDL		
8355	N930	Not NR	[AVHR]	[ASHR],[AIAR],ADFR	chemical	2	3	[ASHR]	[AIAR]	ADFR	
8345	N930	Not NR	[ASKR]	[AIAR]	chemical	2	1	[AIAR]			
8343	N2Y		dsrL	dsrL	electrical	2	1	dsrL			
8342	N930	Not NR	[AIMR]	AIBR,[AIAR]	chemical	2	2	AIBR	[AIAR]		
8341	N930	Not NR	[ASKR]	[AIAR]	chemical	2	1	[AIAR]			
8340	N2Y		R2BL	PLML	electrical	2	1	PLML			
8339	N2Y		vBWMR23	ailR	electrical	2	1	ailR			
8339	N930	Not NR	[ASHR]	[ASKR],[AIAR]	chemical	2	2	[ASKR]	[AIAR]		
8335	N2Y		vBWMR21	[vBWML22]	electrical	2	1	[vBWML22]			
8335	N930	Not NR	VGfrag4	ADFR,RIAR	chemical	2	2	ADFR	RIAR		
8328	N930	Not NR	[AVFR]	[EF1],[EF3]	chemical	2	2	[EF1]	[EF3]		
8326	N2Y		vBWMR21	[vBWML23]	electrical	2	1	[vBWML23]			
8326	N930	NR in plane	OLQDL	RMDDR,SIBVL	chemical	2	2	RMDDR	SIBVL		
8322	N2Y		dglR2	dglR1	electrical	2	1	dglR1			
8322	N930	NR 45 deg	CEPDL	OLQDL,SMBDR	chemical	2	2	OLQDL	SMBDR		
8319	N2Y		ailR	ailL	electrical	2	1	ailL			
8318	N2Y		mus4962	ailL	electrical	2	1	ailL			
8313	N2Y		dglL5	ailL	electrical	2	1	ailL			
8311	N2Y		vBWML22	ailL	electrical	2	1	ailL			
8307	N2Y		vBWML22	ailL	electrical	2	1	ailL			
8305	N930	Not NR	[RIML]	AIBR	chemical	2	1	AIBR			
8304	N930	Not NR	[AVBL]	SIBVR	electrical	2	1	SIBVR			
8302	N2Y		vBWML22	ailR	electrical	2	1	ailR			
8300	N2Y		dglL3	ailL	electrical	2	1	ailL			
8294	N2Y		dglR6	ailR	electrical	2	1	ailR			
8293	N2Y		dglR6	ailR	electrical	2	1	ailR			
8291	N930	Not NR	[ASHR]	[AIAR],AIBR	chemical	2	2	[AIAR]	AIBR		
8288	N930	Not NR	[AIAR]	[ASGR],AIBR	chemical	2	2	[ASGR]	AIBR		
8287	N2Y		mus4925	ailR	electrical	2	1	ailR			
8285	N2Y		ailR	[vBWML22]	electrical	2	1	[vBWML22]			
8282	N930	NR 45 deg	obj399267	AVEL	chemical	2	1	AVEL			
