PLNL,Sp2,34,144,307
PLNR,Sp2,52,96,308
PVCL,I1,29,70,2551
PVCR,I1,147,66,2551
PVCR,I1,10243,-1,-1
PVNL,I1,12,82,440
PVNL,I1,13,132,183
PVNL,I1,19,-1,-1
PVNL,I1,60,-1,-1
PVNL,I1,61,-1,-1
PVNL,I1,150,77,2471
PVNL,I1,5739,-1,-1
PVNL,I1,9144,-1,-1
PVNR,I1,18,86,260
PVNR,I1,63,79,2472
PVNR,I1,149,-1,-1
PVNR,I1,5740,-1,-1
PVNR,I1,7057,-1,-1
PVNR,I1,7180,-1,-1
PVPL,I1,72,-1,-1
PVPL,I1,6654,-1,-1
PVPL,I1,6746,-1,-1
PVPL,I1,7214,956,2369
PVPL,I1,10245,74,1108
PVPR,I1,158,68,2471
PVQL,I1,307,88,2369
PVQR,I1,9618,-1,-1
PVQR,I1,9619,-1,-1
PVQR,I1,9622,82,2551
PVR,I1,304,2,167
PVR,I1,57,53,2472
PVR,I1,5063,-1,-1
PVR,I1,10343,2382,2404
PVT,I2,130,40,2551
RIAL,I2,112,30,232
RIAL,I2,220,-1,-1
RIAL,I2,358,-1,-1
RIAL,I2,5723,212,226
RIAR,I2,125,28,230
RIAR,I2,160,-1,-1
RIBL,I2,94,27,279
RIBL,I2,1256,-1,-1
RIBR,I2,179,15,276
RICL,I1,31,32,291
RICR,I1,56,44,292
RICR,I1,122,-1,-1
RICR,I1,328,-1,-1
RID,I1,22,-1,-1
RID,I1,250,54,280
RID,I1,8266,216,2023
RIFL,I1,16,76,572
RIFR,I1,157,72,536
RIGL,I1,5725,-1,-1
RIGL,I1,132,60,60
RIGL,I1,9581,51,691
RIGR,I1,133,47,577
RIH,I2,97,2,292
RIH,I2,191,-1,-1
RIML,I2,14,34,277
RIML,I2,115,-1,-1
RIML,I2,365,-1,-1
RIMR,I2,142,-1,-1
RIMR,I2,172,38,270
RIPL,I2,1249,2,133
RIPR,I2,1280,2,130
RIR,I1,47,66,282
RIR,I1,135,-1,-1
RIS,I2,303,21,345
RIVL,HMNp,105,61,245
RIVR,HMNp,44,-1,-1
RIVR,HMNp,260,-1,-1
RIVR,HMNp,10479,-1,-1
RIVR,HMNp,10480,-1,-1
RIVR,HMNp,10481,-1,-1
RIVR,HMNp,10488,63,226
RMDDL,HMNp,41,14,246
RMDDR,HMNp,48,-1,-1
RMDDR,HMNp,322,17,246
RMDL,HMNp,207,33,183
RMDL,HMNp,366,-1,-1
RMDR,HMNp,194,-1,-1
RMDR,HMNp,1246,31,183
